company_name,registered_office,exchange_code,principal_activities,board_members,executive_profiles,revenue,net_profit_or_loss,total_Debt,total_assets,cash_reserves,net_assets,earnings_per_share,dividend_per_share,largest_shareholder,the_highest_ownership_stake,major_equity_changes,major_events,bussiness_sales,bussiness_profit,bussiness_cost,business_segments_num,business_risks,remuneration_policy,auditor,ID
Rectifier Technologies Ltd,"97 Highbury Road, Burwood, VIC 3125",RFT,Manufacturing||Technology,Ying Ming Wang|| Yanbin Wang || Valentino Vescovi || Nigel Machin,Yanbin Wang||Nigel Machin|| Nova Taylor,14761523,491955,8613673,22929553,7295534,9354707,0.0004,0,PUDU INVESTMENT (AUSTRALIA) PTY LTD,16.33,No,Major Contract||Leadership Change,14947185,739919,7352827,4,Market Risk||Credit Risk||Operational Risk,Mixed,Grant Thornton Audit Pty Ltd,1
Beazley plc,"22 Bishopsgate, London, EC2N 4BQ, United Kingdom",LSE,Finance,Christine LaSala || Clive Bannister || Adrian Cox || Sally Lake || Rajesh Agrawal || Pierre-Olivier Desaulle || Nicola Hodson || Fiona Muldoon || John Reizenstein || Cecilia Reyes Leuzinger || Robert Stuchbery,Adrian Cox||Sally Lake||Christine Oldridge||Paul Bantick||Beth Diamond||Bethany Greenwood||Lou Ann Layton||Richard Montminy||Bob Quane||Rachel Turk||Tim Turner||Pippa Vowles,3466600000,160800000,548000000,15099000000,652500000,2573500000,0.263,0.18,Fidelity Management & Research,9.1,Yes,Leadership Change|| Restructuring||Other,5268700000,230400000,3236200000,5,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Mixed,Ernst & Young LLP,2
"Aurora Innovation, Inc.","1654 Smallman St., Pittsburgh, Pennsylvania 15222",NASDAQ,Technology||Transportation,Chris Urmson||Sterling Anderson||Brittany Bagley||Carl Eschenbach||Reid Hoffman||Claire Hughes Johnson||Dara Khosrowshahi||Michelangelo Volpi,Chris Urmson||Richard Tame,68000000,-1723000000,217000000,2001000000,262000000,1784000000,1.51,0,Aurora Founders,49.1,Yes,Leadership Change||Other,68000000,1852000000,1920000000,3,Market Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Mixed,KPMG LLP,3
NEW ZEALAND MEDIA AND ENTERTAINMENT,"2 Graham St, Auckland 1010, New Zealand",NZX||ASX,Media,Barbara Chapman||Carol Campbell||David Gibson||Sussan Turner||Guy Horrocks,Michael Boggs||Shayne Currie||Paul Hancox||Greg Hornblow||Carolyn Luey||David Mackrell||Katie Mills||Allison Whitney||Matthew Wilson||Jason Winstanley,355433000,22680000,168459000,306237000,5670000,137778000,0.1209,0.06,Citicorp Nominees Pty Limited,21.75,Yes,M&A||Leadership Change,365886000,64703000,334491000,3,Operational Risk||Legal/Compliance Risk||Market Risk||Strategic Risk,Mixed,PricewaterhouseCoopers,4
INMUNE BIO INC.,"225 NE Mizner Blvd, Suite 640, Boca Raton, FL 33432",NASDAQ,Healthcare,Raymond J. Tesi ||Timothy Schroeder||J. Kelly Ganjei||Scott Juda||Edgardo Baracchini||Marcia Allen,David J. Moss||Raymond J. Tesi||Mark Lowdell,374000,-27299000,15000000,81795000,52153000,60104000,1.52,0,,,No,Other,374000,27299000,27673000,1,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Mixed,Marcum LLP,5
"CSG Systems International, Inc.","169 Inverness Dr W, Suite 300, Englewood, Colorado 80112",NASDAQ,Technology||Telecommunications||Media||Retail||Healthcare||Finance,RONALD H. COOPER||BRIAN A. SHEPHERD||HAI TRAN||DAVID N. SCHAAF||RACHEL A. BARGER||DAVID G. BARNES||GREGORY A. CONLEY||MARWAN H. FAWAZ||RAJAN NAIK||FRANK V. SICA||HAIYAN SONG||SILVIO TAVARES||TSE LI YANG,Brian A. Shepherd||Hal Tran||Kenneth M. Kennedy||Elizabeth A. Bauer||Rasmani Bhattacharya||Chad C. Dunavant||David N. Schaaf,1089752000,44060000,993304000,1348553000,150365000,355249000,1.42,1.06,,,No,M&A||Major Contract||Restructuring,1089752000,78747000,565168000,1,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk,Mixed,KPMG LLP,6
Trinity Place Holdings Inc.,"340 Madison Avenue, Suite 3C, New York, New York, 10173",NYSE,Real Estate,Alexander Matina||Jeffrey Citrin||Alan Cohen||Joanne Minieri||Keith Pattiz||Matthew Messinger,Matthew Messinger||Steven Kahn||Richard Pyontek,42984000,20690000,258804000,306927000,22055000,27341000,0.56,0,,,No,M&A||Litigation||Restructuring,42984000,,51596000,1,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Mixed,"BDO USA, LLP",7
Suncorp Group Limited,"Level 23 Heritage Lanes 80 Ann Street Brisbane, Qld 4000",ASX,Finance,Christine McLoughlin||Sylvia Falzon||Elmer Funke Kupper||Ian Hammond||Sally Herman||Simon Machell||Douglas McTaggart||Lindsay Tanner||Duncan West||Steve Johnston,Steve Johnston||Christine McLoughlin,9250000000,681000000,21325000000,1.06E+11,38000000,6460000000,0.54,0.4,HSBC Custody Nominees (Australia) Limited,30.36,Yes,M&A||Restructuring||Leadership Change,10872000000,1102000000,10978000000,5,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk ,Mixed,KPMG,8
Poste Italiane S.p.A.,"Viale Europa, 190, 00144 Rome, Italy",MTA,Finance||Technology||Retail||Energy,Silvia Maria Rovere||Matteo Del Fante||Carlo D'Asaro Biondo||Valentina Gemignani||Paolo Marchioni||Matteo Petrella||Armando Ponzini||Vincenza Patrizia Rutigliano||Vanda Ternau,Matteo Del Fante||Maria Bianca Farina,13730962770,1745099230,1.19702E+11,3.0216E+11,5755016190,10321609410,1.34,0.75,Cassa Depositi e Prestiti SpA,35,Yes,M&A,13732117700,2644789700,11085018140,4,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Mixed,Deloitte & Touche S.p.A.,9
"Guaranty Bancshares, Inc.","8343 Douglas Avenue, Suite 400, Dallas, Texas 75225",GNTY,Finance,Cappy Payne|| im Bunch||Jeff Brown||Kirk Lee||Chris Elliott||Ty Abston||Mike Nolan||Sondra Cunningham||Brad Drake||Ricky Baker||Carl Johnson Jr.||Josh Bray,Ty Abston||Cappy Payne||Sondra Cunningham||Brad Drake||Jim Bunch||Kirk Lee||Jeff Brown||Ricky Baker,107829000,40423000,,3351495000,2681154000,295558000,3.38,0.88,,,No,Other,131314000,40423000,82057000,4,Market Risk||Credit Risk||Operational Risk||Strategic Risk,Not Disclosed,Whitley Penn,10
