name,age,nationality,nba_team,own_year,ID
Tom Gores,61,American,Detroit Pistons,2011.0,1
Daniel Gilbert,62,American,Cleveland Cavaliers,2005.0,2
Steven Anthony Ballmer,68,American,Los Angeles Clippers,2014.0,3
Daniel G. DeVos,66,American,Orlando Magic,1991.0,4
Mark Cuban,67,American,Dallas Mavericks,2000.0,5
Tilman Joseph Fertitta,67,American,Houston Rockets,2017.0,6
Joseph Chung-Hsin Tsai,61,Taiwanese-Canadian,Brooklyn Nets,2019.0,7
Clay Bennett,66,American,Oklahoma City Thunder,2006.0,8
Herbert Simon,91,American,Indiana Pacers,1983.0,9
Jerry Michael Reinsdorf,89,American,Chicago Bulls,1985.0,10
Gayle Marie LaJaunie Bird Benson,77,American,New Orleans Pelicans,2018.0,11
Enos Stanley Kroenke,78,American,Denver Nuggets,,12
Joshua Jordan Harris,59,American,Philadelphia 76ers,2011.0,13
James Lawrence Dolan,70,American,New York Knicks,,14
Micky Arison,76,Israeli-American,Miami Heat,1995.0,15
Joseph Steven Lacob,69,American,Golden State Warriors,2010.0,16
