name,birth_date,nationality,age,is_dead,team,position,draft_pick,draft_year,college,nba_championships,mvp_awards,olympic_gold_medals,fiba_world_cup,"ID"
Antonius Cleveland  ,1994/2/2,American  ,31,0,Lokomotiv Kuban,,,,Southeast Missouri State University  ,0.0,0,0.0,0.0,1
Jay Vincent Jay Fletcher Vincent  ,1959/6/10,American  ,66,0,Los Angeles Lakers,Frontcourt,24.0,1981.0,Michigan State Spartans  ,0.0,0,0.0,0.0,2
Nikola Radi?evi?  ,1994/4/25,Serbian  ,31,0,Cedevita Olimpija,Backcourt,57.0,2015.0, ,0.0,0,0.0,0.0,3
Fran Curran Francis Hugh Curran Sr.,1922/9/9,American,82,1,Rochester Royals,,,,University of Notre Dame,0.0,0,0.0,0.0,4
Mark Price  ,1964/2/15,American  ,61,0,Orlando Magic,Backcourt,25.0,1986.0,Georgia Tech  ,0.0,0,0.0,1.0,5
David Michineau  ,1994/6/6,French  ,31,0,Bursaspor Basketbol,Backcourt,,2016.0, ,0.0,0,0.0,0.0,6
Donta Hall  ,1997/8/7,Azerbaijani  ,28,0,Saski Baskonia,,,,Alabama  ,0.0,0,0.0,0.0,7
Erick Strickland  ,1973/11/25,American  ,52,0,Milwaukee Bucks,,,,University of Nebraska,0.0,0,0.0,0.0,8
David Lattin  ,1943/12/23,American  ,82,0,New Orleans Jazz,Frontcourt,10.0,1967.0,Texas Western College  ,0.0,0,0.0,0.0,9
Toby Kimball  ,1942/9/7,American  ,75,1,New Orleans Jazz,Frontcourt,,,University of Connecticut  ,0.0,0,0.0,0.0,10
Derek Grimm  ,1974/8/3,American  ,51,0,Sacramento Kings,Frontcourt,,,University of Missouri  ,0.0,0,0.0,0.0,11
Anthony Marshon Davis Jr.,1993/3/11,American,32,0,Los Angeles Lakers,Frontcourt,1.0,2012.0,Kentucky,1.0,1,2.0,1.0,12
Brandan Keith Wright  ,1987/10/5,American  ,38,0,Houston Rockets,,8.0,2007.0,University of North Carolina at Chapel Hill  ,0.0,0,0.0,0.0,13
Askia Rahman Jones  ,1971/12/3,American-Venezuelan  ,54,0,Guaros de Lara,Backcourt,,,Kansas State University  ,0.0,0,0.0,0.0,14
Carrick Felix  ,1990/8/17,American  ,35,0,Melbourne United,Backcourt,33.0,2013.0,Arizona State  ,0.0,0,0.0,0.0,15
Mychel Thompson  ,1988/6/1,American  ,37,0,Santa Cruz Warriors,Backcourt,,,Pepperdine University  ,0.0,0,0.0,0.0,16
Marvin Roberts,1950/1/29,American,75,0,,,45.0,1971.0,Utah State University,0.0,0,0.0,0.0,17
