id,name,nationality,art_movement,birth_date,death_date,age,century,zodiac,birth_country,birth_city,birth_continent,death_country,death_city,field,genre,marriage,art_institution,teaching,awards,artwork_url,style,image_genre,object,color,tone,composition,intro_url
0001,Nicolas Carone,American,Abstract Expressionism,1917/6/4,2010/7/15,93,20th-21st,Gemini,United States,New York City,North America,United Kingdom,New York,Painting||Sculpture,Abstract,,National Academy of Design under Leon Kroll||Art Students League of New York||Hans Hofmann School of Fine Arts||Rome Academy of Fine Arts,1,2,https://uploads1.wikiart.org/images/nicolas-carone/escape-plan-1958.jpg!PinterestSmall.jpg,Abstract Expressionism,Abstract,Undefined Forms,Earth Tones,Neutral,Asymmetrical,https://www.wikiart.org/en/nicolas-carone/escape-plan-1958
0002,Agustín Cárdenas Alfonso,Cuban,Surrealism,1927/4/10,2001/2/9,73,20th-21st,Aries,Cuba,Matanzas,North America,Cuba,Havana,Sculpture,,,Escuela Nacional de Bellas Artes “San Alejandro”,0,4,https://uploads7.wikiart.org/images/agustin-cardenas/flowered-window-1977.jpg!PinterestSmall.jpg,Surrealism,Sculpture,Geometric Forms,White,Neutral,Asymmetrical,https://www.wikiart.org/en/agustin-cardenas/flowered-window-1977
0003,Twins Seven Seven,Nigerian,Osogbo School,1944/5/3,2001/6/16,57,20th-21st,Taurus,Nigeria,Ogidi,Africa,Nigeria,Ibadan,Painting||Sculpture||Music,,,,1,3,https://uploads7.wikiart.org/images/twins-seven-seven/the-elephant-enticement-1979.jpg!PinterestSmall.jpg,Naïve Art (Primitivism),Figurative,"Human Figures, Animals",Earth Tones,Warm,"Dynamic, Crowded",https://www.wikiart.org/en/twins-seven-seven/the-elephant-enticement-1979
0004,Zao Wou-Ki,French||Chinese,Abstract Expressionism||Impressionism,1920/2/13,2013/4/9,93,20th-21st,Aquarius,China,Beijing,Asia,Switzerland,Nyon,Painting,Abstraction,Remarried,China Academy of Art,1,0,https://uploads6.wikiart.org/images/zao-wou-ki/embrasement-1954.jpg!PinterestSmall.jpg,Art Informel,,,Red,Warm,Asymmetrical,https://www.wikiart.org/en/zao-wou-ki/embrasement-1954
0005,Lidia Elena Prati,Argentinean,Asociación Arte Concreto-Invención||Madí||Grupo de Artistas Modernos de la Argentina,1905/4/4,1905/6/30,0,20th,Aries,Argentina,"Resistencia, Chaco",South America,Argentina,Buenos Aires,Painting||Graphic Design||Jewelry||Textiles,Abstract||Geometric,,,0,0,https://uploads3.wikiart.org/images/lidy-prati/concreto-1945.jpg!PinterestSmall.jpg,Concretism,Geometric,Geometric Shapes,Red And White,Neutral,Asymmetrical With Angular Shapes,https://www.wikiart.org/en/lidy-prati/concreto-1945
0006,Alexander Bogen,,,1916/1/24,2010/10/20,94,20th-21st,Aquarius,Estonia,Tartu,Europe,Israel,Tel Aviv,Painting||Sculpture||Set Design||Book Illustration,,Married,Stefan Batory art academy affiliated with the Wilno University,1,0,https://uploads6.wikiart.org/00323/images/alexander-bogen/blue-construction-2003.jpg!PinterestSmall.jpg,Abstract Expressionism,,Geometric Shapes,Blue,Dark,Asymmetrical,https://www.wikiart.org/en/alexander-bogen/blue-construction-2003
0007,Jorge R. Camacho Lazo,French||Cuban,Surrealism,1934/1/5,2011/3/30,77,20th-21st,,Cuba,Havana,North America,France,Paris,Painting,,,,1,0,https://uploads1.wikiart.org/images/jorge-camacho/untitled.jpg!PinterestSmall.jpg,Surrealism,Figurative,"Human-Like Figure, Abstract Shapes",Gray,Neutral,Centralized Composition,https://www.wikiart.org/en/jorge-camacho/untitled
0008,Emma Amos,American,Postmodern,1937/3/16,2020/5/20,83,20th-21st,Pisces,United States,Atlanta,North America,,,Painting||Printmaking||Textile Design,Figure,,"Antioch College in Yellow Springs, Ohio|| the Central School of Art and Design in London||New York University",1,0,https://uploads5.wikiart.org/00335/images/emma-amos/malcom-x-morley-matisse-and-me-1993.jpg!PinterestSmall.jpg,Feminist Art,Portrait,"Reclining Figure, Abstract Shapes",Multicolored,Bright,Collage-Like,https://www.wikiart.org/en/emma-amos/malcom-x-morley-matisse-and-me-1993
0009,Gunther Gerzso,Mexican,Surrealism||Abstract,1915/6/17,2000/4/21,84,20th-21st,Gemini,Mexico,Mexico City,North America,,,Painting||Design||Directing||Screenwriting,,Married,,0,7,https://uploads8.wikiart.org/images/gunther-gerzso/mitolog-a-1961.jpg!PinterestSmall.jpg,Hard Edge Painting,Landscape,Shapes Resembling Land And Sky,Green,Neutral,Horizontal Layers,https://www.wikiart.org/en/gunther-gerzso/mitolog-a-1961
0010,Eduardo Chillida Juantegui,Spanish,Abstract,1924/1/10,2002/8/19,78,20th-21st,,Spain,San Sebastián De Los Reyes,Europe,Spain,San Sebastián,Sculpture,Abstract,Married,University of Madrid,0,0,https://uploads2.wikiart.org/images/eduardo-chillida/elogio-al-horizonte-2005.jpg!PinterestSmall.jpg,Abstract Art,Sculpture,Concrete Structure,Earthy Tones,Neutral,Geometric,https://www.wikiart.org/en/eduardo-chillida/elogio-al-horizonte-2005
0011,Laurel Burch,American,,1945/12/31,2007/9/13,61,20th-21st,,United States,San Fernando Valley,North America,United States,Novato,Art||Design,,Remarried,,0,0,https://uploads3.wikiart.org/images/laurel-burch/birds-from-the-rainbow-forest.jpg!PinterestSmall.jpg,,Still Life,"Birds, Leaves",Vibrant Multicolors,Bright,"Patterned, Layered",https://www.wikiart.org/en/laurel-burch/birds-from-the-rainbow-forest
