id,fiba_world_cup,birth_date,nba_championships
1,0.0,1994/2/2,0.0
3,0.0,1994/4/25,0.0
4,0.0,1922/9/9,0.0
6,0.0,1994/6/6,0.0
7,0.0,1997/8/7,0.0
8,0.0,1973/11/25,0.0
9,0.0,1943/12/23,0.0
10,0.0,1942/9/7,0.0
11,0.0,1974/8/3,0.0
12,1.0,1993/3/11,1.0
13,0.0,1987/10/5,0.0
14,0.0,1971/12/3,0.0
15,0.0,1990/8/17,0.0
16,0.0,1988/6/1,0.0
17,0.0,1950/1/29,0.0
18,0.0,1959/9/19,0.0
19,0.0,1969/4/18,0.0
20,0.0,1930/11/1,0.0
21,0.0,1945/9/17,13.0
22,0.0,1969/10/18,0.0
23,0.0,1990/7/12,0.0
24,0.0,1983/10/28,0.0
25,0.0,1973/8/22,0.0
26,0.0,1989/2/4,0.0
27,0.0,1926/1/31,0.0
28,0.0,1959/8/14,5.0
29,0.0,1920/9/19,0.0
30,0.0,1961/4/30,2.0
31,0.0,1951/1/1,0.0
32,1.0,1995/12/15,1.0
33,0.0,1959/12/20,1.0
34,0.0,1968/10/14,0.0
35,0.0,1975/11/21,1.0
36,0.0,1935/9/1,0.0
37,0.0,1965/9/12,2.0
38,0.0,1976/4/25,5.0
39,0.0,1964/5/14,0.0
40,0.0,1930/8/29,0.0
41,0.0,1974/1/28,0.0
42,0.0,1937/7/13,0.0
43,0.0,1930/2/17,0.0
44,0.0,1967/7/3,0.0
45,1.0,1966/8/23,0.0
46,0.0,2001/8/5,0.0
47,0.0,1927/4/26,0.0
48,0.0,1931/2/3,0.0
49,1.0,1949/8/29,0.0
50,0.0,1951/6/2,0.0
51,0.0,1989/2/7,0.0
52,0.0,1952/3/11,0.0
53,0.0,1972/10/4,0.0
54,1.0,1988/9/29,2.0
55,,1971/10/2,
56,1.0,1975/4/2,0.0
57,0.0,1950/6/13,0.0
58,0.0,1963/12/14,1.0
59,1.0,1969/3/31,1.0
60,0.0,1972/2/6,0.0
61,0.0,1966/7/11,0.0
62,0.0,1929/2/3,0.0
63,0.0,1997/7/9,0.0
64,0.0,1988/7/14,0.0
65,0.0,1984/2/21,0.0
66,0.0,1919/3/23,0.0
67,0.0,1998/7/31,0.0
68,0.0,1986/8/31,0.0
69,1.0,1965/9/27,9.0
70,0.0,1968/10/3,1.0
71,0.0,1944/8/8,0.0
72,0.0,1981/3/23,0.0
73,1.0,1967/4/24,0.0
74,0.0,1959/7/5,0.0
75,0.0,1990/7/31,0.0
76,0.0,1959/7/3,0.0
77,0.0,2002/7/30,0.0
78,0.0,1996/10/8,0.0
79,0.0,1995/10/2,0.0
80,0.0,1933/1/20,0.0
81,0.0,1980/3/20,0.0
82,0.0,1988/10/23,0.0
83,0.0,1964/10/30,0.0
84,0.0,1951/9/17,0.0
85,0.0,1973/5/18,0.0
86,0.0,1930/1/14,0.0
87,0.0,1947/3/7,0.0
88,0.0,1953/10/31,0.0
89,0.0,1929/11/16,0.0
90,0.0,1945/11/18,0.0
91,0.0,1925/3/5,0.0
92,0.0,1991/10/10,0.0
93,1.0,1993/9/15,0.0
94,0.0,1936/3/13,0.0
95,0.0,1958/7/26,0.0
96,0.0,1966/2/7,0.0
97,0.0,1925/10/8,0.0
98,0.0,2000/2/22,0.0
99,1.0,1993/8/10,0.0
100,0.0,1992/12/17,0.0
101,0.0,1996/2/23,0.0
102,0.0,1994/3/16,0.0
103,0.0,1990/5/2,0.0
104,1.0,1992/3/23,1.0
105,0.0,1998/3/3,1.0
106,0.0,1995/9/28,0.0
107,0.0,1995/2/23,1.0
108,0.0,2001/2/26,0.0
109,0.0,1997/7/17,1.0
110,0.0,1996/10/24,1.0
111,0.0,2004/1/4,0.0
112,0.0,1990/6/12,2.0
113,1.0,1998/5/29,0.0
114,1.0,1988/9/7,1.0
115,0.0,1994/12/6,1.0
116,2.0,1988/3/14,4.0
117,0.0,1986/6/3,1.0
118,0.0,2000/1/20,0.0
119,0.0,1994/4/22,0.0
120,0.0,1993/9/20,0.0
121,1.0,2001/9/25,0.0
122,0.0,1984/12/30,4.0
123,0.0,1989/9/14,0.0
124,0.0,1996/2/6,3.0
125,0.0,1995/3/10,0.0
126,1.0,2002/2/13,0.0
127,0.0,1986/3/25,1.0
128,0.0,1963/2/17,6.0
129,0.0,1996/10/30,0.0
130,0.0,1990/3/4,4.0
131,0.0,1997/11/19,0.0
132,0.0,2002/10/6,1.0
133,0.0,1997/10/27,0.0
134,0.0,2001/2/18,0.0
135,0.0,2003/1/30,0.0
136,0.0,1996/8/31,0.0
137,1.0,1972/3/6,4.0
138,0.0,1978/8/23,5.0
139,0.0,1985/5/6,0.0
140,0.0,1992/5/30,1.0
141,0.0,1997/7/18,0.0
