team,nationality,mvp_awards,id
Lokomotiv Kuban,American,0,1
Los Angeles Lakers,American,0,2
Cedevita Olimpija,Serbian,0,3
Rochester Royals,American,0,4
Orlando Magic,American,0,5
Bursaspor Basketbol,French,0,6
Saski Baskonia,Azerbaijani,0,7
Milwaukee Bucks,American,0,8
New Orleans Jazz,American,0,9
New Orleans Jazz,American,0,10
Sacramento Kings,American,0,11
Houston Rockets,American,0,13
Guaros de Lara,American-Venezuelan,0,14
Melbourne United,American,0,15
Santa Cruz Warriors,American,0,16
,American,0,17
New York Knicks,American,0,18
Grand Rapids Hoops,American,0,19
New York Knicks,American,0,20
Los Angeles Lakers,American,0,21
PAOK Thessaloniki,American,0,22
Philadelphia 76ers,American,0,23
Detroit Pistons,American,0,24
HTV Basket,American,0,25
Philadelphia 76ers,American,0,26
Philadelphia Warriors,American,0,27
Boston Celtics,,0,29
Portland Trail Blazers,American,0,31
Capitanes de Arecibo,Nigerian-American,0,32
Chicago Bulls,American,0,33
Brevard Blue Ducks,American,0,34
Phoenix Suns,American,0,35
Milwaukee Bucks,American,0,36
Dallas Mavericks,American,0,37
Panteras de Miranda,American,0,39
Philadelphia Warriors,American,0,40
New Mexico State,American,0,41
New York Knicks,American,0,42
Milwaukee Hawks,American,0,43
Cleveland Cavaliers,American,0,44
Indiana Pacers,Dutch,0,45
Minnesota Timberwolves,American,0,46
Detroit Pistons,American,0,47
Milwaukee Hawks,American,0,48
Golden State Warriors,American,0,49
New York Knicks,Canadian,0,50
AS Monaco,Greek-American,0,51
Seattle SuperSonics,,0,52
New York Knicks,American,0,53
Los Angeles Clippers,American,0,55
New Orleans Jazz,American,0,57
Grand Rapids Hoops,American,0,58
Charlotte Bobcats,American,0,59
,American,0,60
Houston Rockets,American,0,61
Milwaukee Hawks,American,0,62
Memphis Grizzlies,American,0,63
Debreceni EAC,American,0,64
Petrol Olimpija,Slovenian,0,65
Chicago Stags,American,0,66
Capital City Go-Go,American,0,67
Piratas de Quebradillas,American,0,68
Golden State Warriors,American,0,69
Indiana Pacers,American,0,70
Los Angeles Lakers,American,0,71
Maccabi Tel Aviv,American,0,72
Košarkaški klub Split,Croatian,0,73
Seattle SuperSonics,American,0,74
Olympiacos,Greek,0,75
Washington Bullets,American,0,76
Portland Trail Blazers,American,0,77
Virtus Bologna,American,0,78
Gigantes de Carolina,American,0,79
Fort Wayne Pistons,American,0,80
Brooklyn Nets,American,0,81
Sichuan Blue Whales,American,0,82
Libertas Livorno,American,0,83
Golden State Warriors,American,0,84
Greensboro Swarm,American,0,85
Philadelphia Eagles,American,0,86
New York Knicks,American,0,87
Houston Rockets,American,0,88
Milwaukee Hawks,American,0,89
Boston Celtics,American,0,90
Syracuse Nationals,American,0,91
Mexico City Capitanes,American,0,92
Brooklyn Nets,German,0,93
Cincinnati Royals,American,0,94
Dallas Mavericks,American,0,95
Utah Jazz,American-Spanish,0,96
Baltimore Bullets,American,0,97
Golden State Warriors,American,0,98
Philadelphia 76ers,American,0,99
Golden State Warriors,Bahamian,0,100
Los Angeles Lakers,American,0,101
Philadelphia 76ers,American,0,103
Dallas Mavericks,American,0,104
Philadelphia 76ers,American,0,106
Golden State Warriors,Canadian,0,107
Philadelphia 76ers,American,0,108
New York Knicks,British,0,109
San Antonio Spurs,French,0,111
Los Angeles Lakers,American,0,113
Miami Heat,American,0,114
Boston Celtics,Dominican,0,117
Miami Heat,American,0,118
Miami Heat,American,0,119
Golden State Warriors,American-Chinese,0,120
Detroit Pistons,American,0,121
Miami Heat,American,0,123
Golden State Warriors,American,0,124
Chicago Bulls,American,0,125
Detroit Pistons,American,0,126
Philadelphia 76ers,American,0,127
Phoenix Suns,American,0,129
Golden State Warriors,American,0,130
San Antonio Spurs,American,0,131
Golden State Warriors,Congolese,0,132
Chicago Bulls,American,0,133
Miami Heat,Mexican-American,0,134
Detroit Pistons,American,0,135
New York Knicks,American,0,136
San Antonio Spurs,American,0,140
Miami Heat,American,0,141
