id,team,nationality,mvp_awards
1,Lokomotiv Kuban,American,0
2,Los Angeles Lakers,American,0
3,Cedevita Olimpija,Serbian,0
4,Rochester Royals,American,0
5,Orlando Magic,American,0
6,Bursaspor Basketbol,French,0
7,Saski Baskonia,Azerbaijani,0
8,Milwaukee Bucks,American,0
9,New Orleans Jazz,American,0
10,New Orleans Jazz,American,0
11,Sacramento Kings,American,0
13,Houston Rockets,American,0
14,Guaros de Lara,American-Venezuelan,0
15,Melbourne United,American,0
16,Santa Cruz Warriors,American,0
17,,American,0
18,New York Knicks,American,0
19,Grand Rapids Hoops,American,0
20,New York Knicks,American,0
21,Los Angeles Lakers,American,0
22,PAOK Thessaloniki,American,0
23,Philadelphia 76ers,American,0
24,Detroit Pistons,American,0
25,HTV Basket,American,0
26,Philadelphia 76ers,American,0
27,Philadelphia Warriors,American,0
29,Boston Celtics,,0
31,Portland Trail Blazers,American,0
32,Capitanes de Arecibo,Nigerian-American,0
33,Chicago Bulls,American,0
34,Brevard Blue Ducks,American,0
35,Phoenix Suns,American,0
36,Milwaukee Bucks,American,0
37,Dallas Mavericks,American,0
39,Panteras de Miranda,American,0
40,Philadelphia Warriors,American,0
41,New Mexico State,American,0
42,New York Knicks,American,0
43,Milwaukee Hawks,American,0
44,Cleveland Cavaliers,American,0
45,Indiana Pacers,Dutch,0
46,Minnesota Timberwolves,American,0
47,Detroit Pistons,American,0
48,Milwaukee Hawks,American,0
49,Golden State Warriors,American,0
50,New York Knicks,Canadian,0
51,AS Monaco,Greek-American,0
52,Seattle SuperSonics,,0
53,New York Knicks,American,0
55,Los Angeles Clippers,American,0
57,New Orleans Jazz,American,0
58,Grand Rapids Hoops,American,0
59,Charlotte Bobcats,American,0
60,,American,0
61,Houston Rockets,American,0
62,Milwaukee Hawks,American,0
63,Memphis Grizzlies,American,0
64,Debreceni EAC,American,0
65,Petrol Olimpija,Slovenian,0
66,Chicago Stags,American,0
67,Capital City Go-Go,American,0
68,Piratas de Quebradillas,American,0
69,Golden State Warriors,American,0
70,Indiana Pacers,American,0
71,Los Angeles Lakers,American,0
72,Maccabi Tel Aviv,American,0
73,Košarkaški klub Split,Croatian,0
74,Seattle SuperSonics,American,0
75,Olympiacos,Greek,0
76,Washington Bullets,American,0
77,Portland Trail Blazers,American,0
78,Virtus Bologna,American,0
79,Gigantes de Carolina,American,0
80,Fort Wayne Pistons,American,0
81,Brooklyn Nets,American,0
82,Sichuan Blue Whales,American,0
83,Libertas Livorno,American,0
84,Golden State Warriors,American,0
85,Greensboro Swarm,American,0
86,Philadelphia Eagles,American,0
87,New York Knicks,American,0
88,Houston Rockets,American,0
89,Milwaukee Hawks,American,0
90,Boston Celtics,American,0
91,Syracuse Nationals,American,0
92,Mexico City Capitanes,American,0
93,Brooklyn Nets,German,0
94,Cincinnati Royals,American,0
95,Dallas Mavericks,American,0
96,Utah Jazz,American-Spanish,0
97,Baltimore Bullets,American,0
98,Golden State Warriors,American,0
99,Philadelphia 76ers,American,0
100,Golden State Warriors,Bahamian,0
101,Los Angeles Lakers,American,0
103,Philadelphia 76ers,American,0
104,Dallas Mavericks,American,0
106,Philadelphia 76ers,American,0
107,Golden State Warriors,Canadian,0
108,Philadelphia 76ers,American,0
109,New York Knicks,British,0
111,San Antonio Spurs,French,0
113,Los Angeles Lakers,American,0
114,Miami Heat,American,0
117,Boston Celtics,Dominican,0
118,Miami Heat,American,0
119,Miami Heat,American,0
120,Golden State Warriors,American-Chinese,0
121,Detroit Pistons,American,0
123,Miami Heat,American,0
124,Golden State Warriors,American,0
125,Chicago Bulls,American,0
126,Detroit Pistons,American,0
127,Philadelphia 76ers,American,0
129,Phoenix Suns,American,0
130,Golden State Warriors,American,0
131,San Antonio Spurs,American,0
132,Golden State Warriors,Congolese,0
133,Chicago Bulls,American,0
134,Miami Heat,Mexican-American,0
135,Detroit Pistons,American,0
136,New York Knicks,American,0
140,San Antonio Spurs,American,0
141,Miami Heat,American,0
