id,draft_year,age,fiba_world_cup
1,,31,0.0
2,1981.0,66,0.0
3,2015.0,31,0.0
4,,82,0.0
5,1986.0,61,1.0
6,2016.0,31,0.0
7,,28,0.0
8,,52,0.0
9,1967.0,82,0.0
10,,75,0.0
11,,51,0.0
12,2012.0,32,1.0
13,2007.0,38,0.0
14,,54,0.0
15,2013.0,35,0.0
16,,37,0.0
17,1971.0,75,0.0
18,1981.0,66,0.0
19,,56,0.0
20,1954.0,65,0.0
21,1967.0,80,0.0
22,1991.0,56,0.0
23,,34,0.0
24,2005.0,42,0.0
25,,52,0.0
26,2011.0,36,0.0
27,1950.0,86,0.0
28,1979.0,66,0.0
29,,71,0.0
30,1981.0,64,0.0
31,1974.0,74,0.0
32,2015.0,30,1.0
33,1982.0,66,0.0
34,1990.0,44,0.0
35,,50,0.0
36,1958.0,66,0.0
37,1988.0,60,0.0
38,1997.0,49,0.0
39,1986.0,61,0.0
40,,46,0.0
41,1996.0,51,0.0
42,1959.0,82,0.0
43,1953.0,36,0.0
44,1988.0,58,0.0
45,1988.0,59,1.0
46,2020.0,24,0.0
47,1949.0,88,0.0
48,1952.0,83,0.0
49,1971.0,76,1.0
50,,74,0.0
51,2009.0,36,0.0
52,1974.0,73,0.0
53,1995.0,53,0.0
54,2007.0,37,1.0
56,,40,1.0
57,1972.0,73,0.0
58,1986.0,62,0.0
59,1991.0,56,1.0
60,1995.0,53,0.0
61,1988.0,59,0.0
62,1951.0,89,0.0
63,,28,0.0
64,2010.0,37,0.0
65,2005.0,41,0.0
66,,92,0.0
67,2018.0,27,0.0
68,2008.0,39,0.0
69,1988.0,60,1.0
70,1990.0,57,0.0
71,,81,0.0
72,2001.0,44,0.0
73,1989.0,58,1.0
74,1981.0,66,0.0
75,2012.0,35,0.0
76,,66,0.0
77,2022.0,23,0.0
78,,29,0.0
79,,30,0.0
80,1954.0,91,0.0
81,2000.0,45,0.0
82,2010.0,37,0.0
83,1987.0,61,0.0
84,1973.0,74,0.0
85,1994.0,52,0.0
86,1952.0,85,0.0
87,1970.0,78,0.0
88,1976.0,72,0.0
89,1952.0,58,0.0
90,1968.0,80,0.0
91,1949.0,73,0.0
92,2013.0,34,0.0
93,2013.0,32,1.0
94,1958.0,79,0.0
95,1980.0,55,0.0
96,,59,0.0
97,,61,0.0
98,2023.0,25,0.0
99,2012.0,32,1.0
100,2016.0,33,0.0
101,2015.0,29,0.0
102,2014.0,31,0.0
103,2010.0,35,0.0
104,2011.0,33,1.0
105,2017.0,27,0.0
106,2019.0,30,0.0
107,2014.0,30,0.0
108,,24,0.0
109,2017.0,28,0.0
110,2016.0,29,0.0
111,2023.0,21,0.0
112,2009.0,35,0.0
113,2021.0,27,1.0
114,2008.0,37,1.0
115,2013.0,31,0.0
116,2009.0,37,2.0
117,2007.0,39,0.0
118,2019.0,25,0.0
119,,31,0.0
120,2014.0,32,0.0
121,2021.0,24,1.0
122,2003.0,41,0.0
123,2011.0,36,0.0
124,2015.0,29,0.0
125,2014.0,30,0.0
126,2022.0,23,1.0
127,2006.0,39,0.0
128,1984.0,62,0.0
129,2015.0,29,0.0
130,2012.0,35,0.0
131,2017.0,28,0.0
132,2021.0,23,0.0
133,2017.0,28,0.0
134,2023.0,24,0.0
135,2023.0,22,0.0
136,2018.0,29,0.0
137,1992.0,53,1.0
138,1996.0,42,0.0
139,2005.0,40,0.0
140,2012.0,33,0.0
141,2017.0,28,0.0
