fiba_world_cup,nationality,college,id
0.0,American,Southeast Missouri State University,1
0.0,American,Michigan State Spartans,2
0.0,Serbian,,3
0.0,American,University of Notre Dame,4
1.0,American,Georgia Tech,5
0.0,French,,6
0.0,Azerbaijani,Alabama,7
0.0,American,University of Nebraska,8
0.0,American,Texas Western College,9
0.0,American,University of Connecticut,10
0.0,American,University of Missouri,11
1.0,American,Kentucky,12
0.0,American,University of North Carolina at Chapel Hill,13
0.0,American,Arizona State,15
0.0,American,Pepperdine University,16
0.0,American,Utah State University,17
0.0,American,Pan American University,18
0.0,American,"University of California, Los Angeles",19
0.0,American,Southwest Missouri State University,20
0.0,American,University of North Dakota,21
0.0,American,Seton Hall University,22
0.0,American,UCLA,23
0.0,American,Georgia Tech,24
0.0,American,Thomas More College,25
0.0,American,Temple University,26
0.0,American,Duquesne,27
0.0,American,Michigan State,28
0.0,,,29
0.0,American,Indiana Hoosiers,30
0.0,American,,31
1.0,Nigerian-American,Duke,32
0.0,American,University of Minnesota,33
0.0,American,University of Florida,34
0.0,American,University of Arizona,35
0.0,American,Temple University,36
0.0,American,University of Florida,37
0.0,American,Wake Forest University,38
0.0,American,St. John's University,39
0.0,American,Stanford University,40
0.0,American,Kentucky,41
0.0,American,NYU,42
0.0,American,,43
0.0,American,University of Missouri,44
1.0,Dutch,Marist College,45
0.0,American,Georgia,46
0.0,American,Northeast Missouri State Teachers' College,47
0.0,American,New York University,48
1.0,American,San Jose State University,49
0.0,Canadian,,50
0.0,Greek-American,University of Florida,51
0.0,,Seattle University,52
0.0,American,Texas Christian University,53
1.0,American,University of Texas at Austin,54
,American,Xavier University,55
1.0,American,Central Michigan University,56
0.0,American,Oregon State University,57
0.0,American,Memphis State University,58
1.0,American,Michigan State,59
0.0,American,Michigan State,60
0.0,American,DePaul University,61
0.0,American,Bradley University,62
0.0,American,Penn State Nittany Lions,63
0.0,American,Siena,64
0.0,Slovenian,Michigan State University,65
0.0,American,Loyola University in Chicago,66
0.0,American,University of Kentucky,67
0.0,American,Indiana Hoosiers,68
1.0,American,University of Arizona,69
0.0,American,UTEP,70
0.0,American,University of Southern California,71
0.0,American,University of North Carolina at Chapel Hill,72
1.0,Croatian,,73
0.0,American,Oregon State University,74
0.0,Greek,,75
0.0,American,,76
0.0,American,Colorado,77
0.0,American,UNC Wilmington,78
0.0,American,"UCF Knights, Florida Gulf Coast Eagles",79
0.0,American,Notre Dame,80
0.0,American,University of Michigan,81
0.0,American,"Indiana University, Xavier University",82
0.0,American,Marquette,83
0.0,American,American University,84
0.0,American,University of Connecticut,85
0.0,American,University of Minnesota,86
0.0,American,Cheyney University of Pennsylvania,87
0.0,American,University of Maryland,88
0.0,American,"Long Island, John Marshall College",89
0.0,American,,90
0.0,American,Loyola University New Orleans,91
0.0,American,Syracuse Orange,92
1.0,German,,93
0.0,American,Kansas State University,94
0.0,American,Tennessee State University,95
0.0,American-Spanish,,96
0.0,American,New York University,97
0.0,American,Indiana Hoosiers,98
1.0,American,University of Connecticut,99
0.0,Bahamian,Oklahoma Sooners,100
0.0,American,Ohio State,101
0.0,Cameroonian-American,University of Kansas,102
0.0,American,Fresno State,103
1.0,American,Duke University,104
0.0,American,Duke University,105
0.0,American,"NC State Wolfpack, Nevada Wolf Pack",106
0.0,Canadian,Kansas Jayhawks,107
0.0,American,Rice Owls,108
0.0,British,Indiana University,109
0.0,American,"University of California, Berkeley",110
0.0,French,,111
0.0,American,UCLA,112
1.0,American,"Wichita State Shockers, Oklahoma Sooners",113
1.0,American,UCLA,114
0.0,Greek and Nigerian,,115
2.0,American,Davidson,116
0.0,Dominican,University of Florida,117
0.0,American,University of Kentucky,118
0.0,American,"Williams College, University of Michigan",119
0.0,American-Chinese,UCLA,120
1.0,American,Oklahoma State,121
0.0,American,,122
0.0,American,Marquette University,123
0.0,American,UCLA,124
0.0,American,UCLA,125
1.0,American,Purdue,126
0.0,American,Villanova Wildcats,127
0.0,American,University of North Carolina,128
0.0,American,Kentucky Wildcats,129
0.0,American,Michigan State University,130
0.0,American,Gonzaga Bulldogs,131
0.0,Congolese,,132
0.0,American,UCLA,133
0.0,Mexican-American,UCLA,134
0.0,American,,135
0.0,American,Villanova University,136
1.0,American,Louisiana State University (LSU),137
0.0,American,,138
0.0,American,Wake Forest University,139
0.0,American,North Carolina Tar Heels,140
0.0,American,University of Kentucky,141
