id,fiba_world_cup,nationality,college
1,0.0,American,Southeast Missouri State University
2,0.0,American,Michigan State Spartans
3,0.0,Serbian,
4,0.0,American,University of Notre Dame
5,1.0,American,Georgia Tech
6,0.0,French,
7,0.0,Azerbaijani,Alabama
8,0.0,American,University of Nebraska
9,0.0,American,Texas Western College
10,0.0,American,University of Connecticut
11,0.0,American,University of Missouri
12,1.0,American,Kentucky
13,0.0,American,University of North Carolina at Chapel Hill
15,0.0,American,Arizona State
16,0.0,American,Pepperdine University
17,0.0,American,Utah State University
18,0.0,American,Pan American University
19,0.0,American,"University of California, Los Angeles"
20,0.0,American,Southwest Missouri State University
21,0.0,American,University of North Dakota
22,0.0,American,Seton Hall University
23,0.0,American,UCLA
24,0.0,American,Georgia Tech
25,0.0,American,Thomas More College
26,0.0,American,Temple University
27,0.0,American,Duquesne
28,0.0,American,Michigan State
29,0.0,,
30,0.0,American,Indiana Hoosiers
31,0.0,American,
32,1.0,Nigerian-American,Duke
33,0.0,American,University of Minnesota
34,0.0,American,University of Florida
35,0.0,American,University of Arizona
36,0.0,American,Temple University
37,0.0,American,University of Florida
38,0.0,American,Wake Forest University
39,0.0,American,St. John's University
40,0.0,American,Stanford University
41,0.0,American,Kentucky
42,0.0,American,NYU
43,0.0,American,
44,0.0,American,University of Missouri
45,1.0,Dutch,Marist College
46,0.0,American,Georgia
47,0.0,American,Northeast Missouri State Teachers' College
48,0.0,American,New York University
49,1.0,American,San Jose State University
50,0.0,Canadian,
51,0.0,Greek-American,University of Florida
52,0.0,,Seattle University
53,0.0,American,Texas Christian University
54,1.0,American,University of Texas at Austin
55,,American,Xavier University
56,1.0,American,Central Michigan University
57,0.0,American,Oregon State University
58,0.0,American,Memphis State University
59,1.0,American,Michigan State
60,0.0,American,Michigan State
61,0.0,American,DePaul University
62,0.0,American,Bradley University
63,0.0,American,Penn State Nittany Lions
64,0.0,American,Siena
65,0.0,Slovenian,Michigan State University
66,0.0,American,Loyola University in Chicago
67,0.0,American,University of Kentucky
68,0.0,American,Indiana Hoosiers
69,1.0,American,University of Arizona
70,0.0,American,UTEP
71,0.0,American,University of Southern California
72,0.0,American,University of North Carolina at Chapel Hill
73,1.0,Croatian,
74,0.0,American,Oregon State University
75,0.0,Greek,
76,0.0,American,
77,0.0,American,Colorado
78,0.0,American,UNC Wilmington
79,0.0,American,"UCF Knights, Florida Gulf Coast Eagles"
80,0.0,American,Notre Dame
81,0.0,American,University of Michigan
82,0.0,American,"Indiana University, Xavier University"
83,0.0,American,Marquette
84,0.0,American,American University
85,0.0,American,University of Connecticut
86,0.0,American,University of Minnesota
87,0.0,American,Cheyney University of Pennsylvania
88,0.0,American,University of Maryland
89,0.0,American,"Long Island, John Marshall College"
90,0.0,American,
91,0.0,American,Loyola University New Orleans
92,0.0,American,Syracuse Orange
93,1.0,German,
94,0.0,American,Kansas State University
95,0.0,American,Tennessee State University
96,0.0,American-Spanish,
97,0.0,American,New York University
98,0.0,American,Indiana Hoosiers
99,1.0,American,University of Connecticut
100,0.0,Bahamian,Oklahoma Sooners
101,0.0,American,Ohio State
102,0.0,Cameroonian-American,University of Kansas
103,0.0,American,Fresno State
104,1.0,American,Duke University
105,0.0,American,Duke University
106,0.0,American,"NC State Wolfpack, Nevada Wolf Pack"
107,0.0,Canadian,Kansas Jayhawks
108,0.0,American,Rice Owls
109,0.0,British,Indiana University
110,0.0,American,"University of California, Berkeley"
111,0.0,French,
112,0.0,American,UCLA
113,1.0,American,"Wichita State Shockers, Oklahoma Sooners"
114,1.0,American,UCLA
115,0.0,Greek and Nigerian,
116,2.0,American,Davidson
117,0.0,Dominican,University of Florida
118,0.0,American,University of Kentucky
119,0.0,American,"Williams College, University of Michigan"
120,0.0,American-Chinese,UCLA
121,1.0,American,Oklahoma State
122,0.0,American,
123,0.0,American,Marquette University
124,0.0,American,UCLA
125,0.0,American,UCLA
126,1.0,American,Purdue
127,0.0,American,Villanova Wildcats
128,0.0,American,University of North Carolina
129,0.0,American,Kentucky Wildcats
130,0.0,American,Michigan State University
131,0.0,American,Gonzaga Bulldogs
132,0.0,Congolese,
133,0.0,American,UCLA
134,0.0,Mexican-American,UCLA
135,0.0,American,
136,0.0,American,Villanova University
137,1.0,American,Louisiana State University (LSU)
138,0.0,American,
139,0.0,American,Wake Forest University
140,0.0,American,North Carolina Tar Heels
141,0.0,American,University of Kentucky
