olympic_gold_medals,fiba_world_cup,birth_date,id
0.0,0.0,1996/2/23,101
0.0,0.0,1996/10/24,110
1.0,2.0,1988/3/14,116
0.0,0.0,2000/1/20,118
1.0,0.0,1986/3/25,127
2.0,0.0,1963/2/17,128
2.0,0.0,1996/10/30,129
0.0,0.0,1997/10/27,133
2.0,0.0,1978/8/23,138
2.0,0.0,1985/5/6,139
0.0,0.0,1971/12/3,14
0.0,0.0,1990/8/17,15
0.0,0.0,1988/6/1,16
1.0,0.0,1959/8/14,28
0.0,0.0,1994/4/25,3
0.0,0.0,1961/4/30,30
0.0,0.0,1959/12/20,33
0.0,0.0,1975/11/21,35
0.0,0.0,1965/9/12,37
1.0,0.0,2001/8/5,46
0.0,1.0,1964/2/15,5
0.0,0.0,1989/2/7,51
0.0,0.0,1952/3/11,52
1.0,1.0,1969/3/31,59
0.0,0.0,1994/6/6,6
0.0,0.0,1988/7/14,64
0.0,0.0,1919/3/23,66
0.0,0.0,1981/3/23,72
0.0,0.0,1995/10/2,79
0.0,0.0,1925/3/5,91
0.0,0.0,1925/10/8,97
