id,olympic_gold_medals,fiba_world_cup,birth_date
3,0.0,0.0,1994/4/25
5,0.0,1.0,1964/2/15
6,0.0,0.0,1994/6/6
14,0.0,0.0,1971/12/3
15,0.0,0.0,1990/8/17
16,0.0,0.0,1988/6/1
28,1.0,0.0,1959/8/14
30,0.0,0.0,1961/4/30
33,0.0,0.0,1959/12/20
35,0.0,0.0,1975/11/21
37,0.0,0.0,1965/9/12
46,1.0,0.0,2001/8/5
51,0.0,0.0,1989/2/7
52,0.0,0.0,1952/3/11
59,1.0,1.0,1969/3/31
64,0.0,0.0,1988/7/14
66,0.0,0.0,1919/3/23
72,0.0,0.0,1981/3/23
79,0.0,0.0,1995/10/2
91,0.0,0.0,1925/3/5
97,0.0,0.0,1925/10/8
101,0.0,0.0,1996/2/23
110,0.0,0.0,1996/10/24
116,1.0,2.0,1988/3/14
118,0.0,0.0,2000/1/20
127,1.0,0.0,1986/3/25
128,2.0,0.0,1963/2/17
129,2.0,0.0,1996/10/30
133,0.0,0.0,1997/10/27
138,2.0,0.0,1978/8/23
139,2.0,0.0,1985/5/6
