college,draft_pick,fiba_world_cup,id
Oklahoma Sooners,6.0,0.0,100
Ohio State,2.0,0.0,101
University of Kansas,3.0,0.0,102
Fresno State,10.0,0.0,103
Duke University,1.0,1.0,104
Duke University,3.0,0.0,105
Kansas Jayhawks,1.0,0.0,107
"University of California, Berkeley",3.0,0.0,110
,1.0,0.0,111
UCLA,5.0,1.0,114
Davidson,7.0,2.0,116
University of Florida,3.0,0.0,117
Kentucky,1.0,1.0,12
Oklahoma State,1.0,1.0,121
,1.0,0.0,122
Purdue,5.0,1.0,126
University of North Carolina,3.0,0.0,128
University of North Carolina at Chapel Hill,8.0,0.0,13
Michigan State University,35.0,0.0,130
Gonzaga Bulldogs,10.0,0.0,131
,7.0,0.0,132
UCLA,2.0,0.0,133
,5.0,0.0,135
Louisiana State University (LSU),1.0,1.0,137
Wake Forest University,4.0,0.0,139
North Carolina Tar Heels,7.0,0.0,140
University of North Dakota,2.0,0.0,21
Michigan State,1.0,0.0,28
Indiana Hoosiers,2.0,0.0,30
,2.0,0.0,31
Duke,3.0,1.0,32
University of Minnesota,6.0,0.0,33
Temple University,1.0,0.0,36
University of Florida,2.0,0.0,37
Wake Forest University,1.0,0.0,38
Marist College,2.0,1.0,45
Georgia,1.0,0.0,46
New York University,1.0,0.0,48
San Jose State University,8.0,1.0,49
University of Texas at Austin,2.0,1.0,54
Oregon State University,5.0,0.0,57
Memphis State University,6.0,0.0,58
Michigan State,5.0,1.0,59
Michigan State,8.0,0.0,60
Michigan State University,2.0,0.0,65
Notre Dame,1.0,0.0,80
University of Michigan,8.0,0.0,81
American University,5.0,0.0,84
University of Connecticut,4.0,0.0,85
University of Minnesota,8.0,0.0,86
Cheyney University of Pennsylvania,8.0,0.0,87
University of Maryland,1.0,0.0,88
Texas Western College,10.0,0.0,9
,10.0,0.0,90
Loyola University New Orleans,1.0,0.0,91
Kansas State University,10.0,0.0,94
University of Connecticut,9.0,1.0,99
