id,college,draft_pick,fiba_world_cup
9,Texas Western College,10.0,0.0
12,Kentucky,1.0,1.0
13,University of North Carolina at Chapel Hill,8.0,0.0
21,University of North Dakota,2.0,0.0
28,Michigan State,1.0,0.0
30,Indiana Hoosiers,2.0,0.0
31,,2.0,0.0
32,Duke,3.0,1.0
33,University of Minnesota,6.0,0.0
36,Temple University,1.0,0.0
37,University of Florida,2.0,0.0
38,Wake Forest University,1.0,0.0
45,Marist College,2.0,1.0
46,Georgia,1.0,0.0
48,New York University,1.0,0.0
49,San Jose State University,8.0,1.0
54,University of Texas at Austin,2.0,1.0
57,Oregon State University,5.0,0.0
58,Memphis State University,6.0,0.0
59,Michigan State,5.0,1.0
60,Michigan State,8.0,0.0
65,Michigan State University,2.0,0.0
80,Notre Dame,1.0,0.0
81,University of Michigan,8.0,0.0
84,American University,5.0,0.0
85,University of Connecticut,4.0,0.0
86,University of Minnesota,8.0,0.0
87,Cheyney University of Pennsylvania,8.0,0.0
88,University of Maryland,1.0,0.0
90,,10.0,0.0
91,Loyola University New Orleans,1.0,0.0
94,Kansas State University,10.0,0.0
99,University of Connecticut,9.0,1.0
100,Oklahoma Sooners,6.0,0.0
101,Ohio State,2.0,0.0
102,University of Kansas,3.0,0.0
103,Fresno State,10.0,0.0
104,Duke University,1.0,1.0
105,Duke University,3.0,0.0
107,Kansas Jayhawks,1.0,0.0
110,"University of California, Berkeley",3.0,0.0
111,,1.0,0.0
114,UCLA,5.0,1.0
116,Davidson,7.0,2.0
117,University of Florida,3.0,0.0
121,Oklahoma State,1.0,1.0
122,,1.0,0.0
126,Purdue,5.0,1.0
128,University of North Carolina,3.0,0.0
130,Michigan State University,35.0,0.0
131,Gonzaga Bulldogs,10.0,0.0
132,,7.0,0.0
133,UCLA,2.0,0.0
135,,5.0,0.0
137,Louisiana State University (LSU),1.0,1.0
139,Wake Forest University,4.0,0.0
140,North Carolina Tar Heels,7.0,0.0
