olympic_gold_medals,nba_championships,age,id
0.0,0.0,29,101
2.0,1.0,27,105
0.0,1.0,29,110
2.0,2.0,35,112
1.0,4.0,37,116
0.0,0.0,25,118
2.0,1.0,32,12
3.0,4.0,41,122
1.0,1.0,39,127
2.0,6.0,62,128
2.0,0.0,29,129
2.0,4.0,35,130
0.0,0.0,28,133
2.0,5.0,42,138
2.0,0.0,40,139
0.0,0.0,54,14
2.0,0.0,28,141
0.0,0.0,35,15
0.0,0.0,37,16
1.0,5.0,66,28
0.0,0.0,31,3
0.0,2.0,64,30
0.0,1.0,66,33
0.0,1.0,50,35
0.0,2.0,60,37
1.0,0.0,24,46
0.0,0.0,61,5
0.0,0.0,36,51
0.0,0.0,73,52
4.0,2.0,37,54
1.0,1.0,56,59
0.0,0.0,31,6
0.0,0.0,37,64
0.0,0.0,92,66
0.0,0.0,44,72
0.0,0.0,30,79
0.0,0.0,73,91
0.0,0.0,61,97
