id,olympic_gold_medals,nba_championships,age
3,0.0,0.0,31
5,0.0,0.0,61
6,0.0,0.0,31
12,2.0,1.0,32
14,0.0,0.0,54
15,0.0,0.0,35
16,0.0,0.0,37
28,1.0,5.0,66
30,0.0,2.0,64
33,0.0,1.0,66
35,0.0,1.0,50
37,0.0,2.0,60
46,1.0,0.0,24
51,0.0,0.0,36
52,0.0,0.0,73
54,4.0,2.0,37
59,1.0,1.0,56
64,0.0,0.0,37
66,0.0,0.0,92
72,0.0,0.0,44
79,0.0,0.0,30
91,0.0,0.0,73
97,0.0,0.0,61
101,0.0,0.0,29
105,2.0,1.0,27
110,0.0,1.0,29
112,2.0,2.0,35
116,1.0,4.0,37
118,0.0,0.0,25
122,3.0,4.0,41
127,1.0,1.0,39
128,2.0,6.0,62
129,2.0,0.0,29
130,2.0,4.0,35
133,0.0,0.0,28
138,2.0,5.0,42
139,2.0,0.0,40
141,2.0,0.0,28
