position,nationality,age,id
,American,31,1
Frontcourt,American,75,10
,Bahamian,33,100
Backcourt,American,29,101
,Cameroonian-American,31,102
,American,35,103
,American,33,104
,American,27,105
Frontcourt,American,30,106
,Canadian,30,107
,American,24,108
,British,28,109
Frontcourt,American,51,11
Backcourt,American,29,110
Frontcourt,French,21,111
,American,35,112
,American,27,113
,American,37,114
Frontcourt,Greek and Nigerian,31,115
Backcourt,American,37,116
Frontcourt,Dominican,39,117
Backcourt,American,25,118
,American,31,119
Frontcourt,American,32,12
,American-Chinese,32,120
,American,24,121
,American,41,122
,American,36,123
Frontcourt,American,29,124
,American,30,125
,American,23,126
Backcourt,American,39,127
Backcourt,American,62,128
Backcourt,American,29,129
,American,38,13
Frontcourt,American,35,130
,American,28,131
Frontcourt,Congolese,23,132
Backcourt,American,28,133
,Mexican-American,24,134
,American,22,135
,American,29,136
Frontcourt,American,53,137
Backcourt,American,42,138
Backcourt,American,40,139
Backcourt,American-Venezuelan,54,14
,American,33,140
,American,28,141
Backcourt,American,35,15
Backcourt,American,37,16
,American,75,17
,American,66,18
,American,56,19
Frontcourt,American,66,2
,American,65,20
Frontcourt,American,56,22
Frontcourt,American,34,23
,American,42,24
,American,52,25
,American,36,26
Backcourt,American,66,28
,,71,29
Backcourt,Serbian,31,3
Backcourt,American,64,30
,American,74,31
,Nigerian-American,30,32
Backcourt,American,66,33
Frontcourt,American,44,34
Backcourt,American,50,35
,American,66,36
Backcourt,American,60,37
Frontcourt,American,49,38
Frontcourt,American,61,39
Frontcourt,American,46,40
,American,51,41
Frontcourt,American,36,43
Frontcourt,American,58,44
Frontcourt,Dutch,59,45
Backcourt,American,24,46
Frontcourt,American,76,49
Backcourt,American,61,5
Frontcourt,Canadian,74,50
Backcourt,Greek-American,36,51
Backcourt,,73,52
Frontcourt,American,53,53
Frontcourt,American,37,54
Frontcourt,American,54,55
,American,40,56
,American,73,57
Frontcourt,American,62,58
Backcourt,American,56,59
Backcourt,French,31,6
,American,53,60
,American,59,61
,American,28,63
Backcourt,American,37,64
Frontcourt,Slovenian,41,65
,American,27,67
Frontcourt,American,39,68
Frontcourt,American,60,69
,Azerbaijani,28,7
Frontcourt,American,57,70
Backcourt,American,44,72
Frontcourt,Croatian,58,73
,American,66,74
Frontcourt,Greek,35,75
,American,66,76
,American,23,77
,American,29,78
Backcourt,American,30,79
,American,52,8
,American,45,81
,American,37,82
,American,61,83
Frontcourt,American,74,84
,American,52,85
Frontcourt,American,72,88
,American,58,89
Backcourt,American,73,91
,American,34,92
,German,32,93
Frontcourt,American,55,95
,American-Spanish,59,96
Backcourt,American,61,97
,American,25,98
Frontcourt,American,32,99
