id,position,nationality,age
1,,American,31
2,Frontcourt,American,66
3,Backcourt,Serbian,31
5,Backcourt,American,61
6,Backcourt,French,31
7,,Azerbaijani,28
8,,American,52
10,Frontcourt,American,75
11,Frontcourt,American,51
12,Frontcourt,American,32
13,,American,38
14,Backcourt,American-Venezuelan,54
15,Backcourt,American,35
16,Backcourt,American,37
17,,American,75
18,,American,66
19,,American,56
20,,American,65
22,Frontcourt,American,56
23,Frontcourt,American,34
24,,American,42
25,,American,52
26,,American,36
28,Backcourt,American,66
29,,,71
30,Backcourt,American,64
31,,American,74
32,,Nigerian-American,30
33,Backcourt,American,66
34,Frontcourt,American,44
35,Backcourt,American,50
36,,American,66
37,Backcourt,American,60
38,Frontcourt,American,49
39,Frontcourt,American,61
40,Frontcourt,American,46
41,,American,51
43,Frontcourt,American,36
44,Frontcourt,American,58
45,Frontcourt,Dutch,59
46,Backcourt,American,24
49,Frontcourt,American,76
50,Frontcourt,Canadian,74
51,Backcourt,Greek-American,36
52,Backcourt,,73
53,Frontcourt,American,53
54,Frontcourt,American,37
55,Frontcourt,American,54
56,,American,40
57,,American,73
58,Frontcourt,American,62
59,Backcourt,American,56
60,,American,53
61,,American,59
63,,American,28
64,Backcourt,American,37
65,Frontcourt,Slovenian,41
67,,American,27
68,Frontcourt,American,39
69,Frontcourt,American,60
70,Frontcourt,American,57
72,Backcourt,American,44
73,Frontcourt,Croatian,58
74,,American,66
75,Frontcourt,Greek,35
76,,American,66
77,,American,23
78,,American,29
79,Backcourt,American,30
81,,American,45
82,,American,37
83,,American,61
84,Frontcourt,American,74
85,,American,52
88,Frontcourt,American,72
89,,American,58
91,Backcourt,American,73
92,,American,34
93,,German,32
95,Frontcourt,American,55
96,,American-Spanish,59
97,Backcourt,American,61
98,,American,25
99,Frontcourt,American,32
100,,Bahamian,33
101,Backcourt,American,29
102,,Cameroonian-American,31
103,,American,35
104,,American,33
105,,American,27
106,Frontcourt,American,30
107,,Canadian,30
108,,American,24
109,,British,28
110,Backcourt,American,29
111,Frontcourt,French,21
112,,American,35
113,,American,27
114,,American,37
115,Frontcourt,Greek and Nigerian,31
116,Backcourt,American,37
117,Frontcourt,Dominican,39
118,Backcourt,American,25
119,,American,31
120,,American-Chinese,32
121,,American,24
122,,American,41
123,,American,36
124,Frontcourt,American,29
125,,American,30
126,,American,23
127,Backcourt,American,39
128,Backcourt,American,62
129,Backcourt,American,29
130,Frontcourt,American,35
131,,American,28
132,Frontcourt,Congolese,23
133,Backcourt,American,28
134,,Mexican-American,24
135,,American,22
136,,American,29
137,Frontcourt,American,53
138,Backcourt,American,42
139,Backcourt,American,40
140,,American,33
141,,American,28
