nationality,draft_pick,team,id
American,10.0,Philadelphia 76ers,103
American,1.0,Dallas Mavericks,104
American,5.0,Miami Heat,114
American,30.0,Miami Heat,123
American,13.0,Chicago Bulls,125
American,24.0,Philadelphia 76ers,127
American,13.0,Phoenix Suns,129
American,35.0,Golden State Warriors,130
American,7.0,San Antonio Spurs,140
American,14.0,Miami Heat,141
American,,Philadelphia Warriors,40
American,1.0,Minnesota Timberwolves,46
American,5.0,Charlotte Bobcats,59
American,50.0,Golden State Warriors,69
