id,nationality,draft_pick,team
40,American,,Philadelphia Warriors
46,American,1.0,Minnesota Timberwolves
59,American,5.0,Charlotte Bobcats
69,American,50.0,Golden State Warriors
103,American,10.0,Philadelphia 76ers
104,American,1.0,Dallas Mavericks
114,American,5.0,Miami Heat
123,American,30.0,Miami Heat
125,American,13.0,Chicago Bulls
127,American,24.0,Philadelphia 76ers
129,American,13.0,Phoenix Suns
130,American,35.0,Golden State Warriors
140,American,7.0,San Antonio Spurs
141,American,14.0,Miami Heat
