draft_pick,age,position,id
,31,,1
,75,Frontcourt,10
6.0,33,,100
2.0,29,Backcourt,101
3.0,31,,102
10.0,35,,103
1.0,33,,104
3.0,27,,105
,30,Frontcourt,106
1.0,30,,107
,24,,108
23.0,28,,109
,51,Frontcourt,11
3.0,29,Backcourt,110
1.0,21,Frontcourt,111
17.0,35,,112
,27,,113
5.0,37,,114
15.0,31,Frontcourt,115
7.0,37,Backcourt,116
3.0,39,Frontcourt,117
13.0,25,Backcourt,118
,31,,119
1.0,32,Frontcourt,12
30.0,32,,120
1.0,24,,121
1.0,41,,122
30.0,36,,123
30.0,29,Frontcourt,124
13.0,30,,125
5.0,23,,126
24.0,39,Backcourt,127
3.0,62,Backcourt,128
13.0,29,Backcourt,129
8.0,38,,13
35.0,35,Frontcourt,130
10.0,28,,131
7.0,23,Frontcourt,132
2.0,28,Backcourt,133
18.0,24,,134
5.0,22,,135
33.0,29,,136
1.0,53,Frontcourt,137
13.0,42,Backcourt,138
4.0,40,Backcourt,139
,54,Backcourt,14
7.0,33,,140
14.0,28,,141
33.0,35,Backcourt,15
,37,Backcourt,16
45.0,75,,17
11.0,66,,18
,56,,19
24.0,66,Frontcourt,2
26.0,65,,20
2.0,80,Frontcourt,21
15.0,56,Frontcourt,22
,34,Frontcourt,23
22.0,42,,24
,52,,25
50.0,36,,26
14.0,86,,27
1.0,66,Backcourt,28
57.0,31,Backcourt,3
2.0,64,Backcourt,30
3.0,30,,32
6.0,66,Backcourt,33
24.0,44,Frontcourt,34
,50,Backcourt,35
1.0,66,,36
2.0,60,Backcourt,37
1.0,49,Frontcourt,38
14.0,61,Frontcourt,39
,82,,4
,46,Frontcourt,40
16.0,51,,41
13.0,82,Frontcourt,42
,36,Frontcourt,43
16.0,58,Frontcourt,44
2.0,59,Frontcourt,45
1.0,24,Backcourt,46
20.0,88,Frontcourt,47
1.0,83,,48
8.0,76,Frontcourt,49
25.0,61,Backcourt,5
35.0,36,Backcourt,51
169.0,73,Backcourt,52
,53,Frontcourt,53
2.0,37,Frontcourt,54
,54,Frontcourt,55
,40,,56
6.0,62,Frontcourt,58
5.0,56,Backcourt,59
,31,Backcourt,6
8.0,53,,60
19.0,59,,61
35.0,89,,62
,28,,63
,37,Backcourt,64
2.0,41,Frontcourt,65
,92,Backcourt,66
45.0,27,,67
29.0,39,Frontcourt,68
50.0,60,Frontcourt,69
,28,,7
35.0,57,Frontcourt,70
,81,Frontcourt,71
21.0,44,Backcourt,72
40.0,58,Frontcourt,73
48.0,35,Frontcourt,75
57.0,23,,77
,29,,78
,30,Backcourt,79
,52,,8
1.0,91,Frontcourt,80
8.0,45,,81
27.0,37,,82
44.0,61,,83
5.0,74,Frontcourt,84
4.0,52,,85
8.0,85,Frontcourt,86
8.0,78,Frontcourt,87
1.0,72,Frontcourt,88
,58,,89
10.0,82,Frontcourt,9
1.0,73,Backcourt,91
11.0,34,,92
17.0,32,,93
10.0,79,,94
21.0,55,Frontcourt,95
,59,,96
,61,Backcourt,97
57.0,25,,98
9.0,32,Frontcourt,99
