id,draft_pick,age,position
1,,31,
2,24.0,66,Frontcourt
3,57.0,31,Backcourt
4,,82,
5,25.0,61,Backcourt
6,,31,Backcourt
7,,28,
8,,52,
9,10.0,82,Frontcourt
10,,75,Frontcourt
11,,51,Frontcourt
12,1.0,32,Frontcourt
13,8.0,38,
14,,54,Backcourt
15,33.0,35,Backcourt
16,,37,Backcourt
17,45.0,75,
18,11.0,66,
19,,56,
20,26.0,65,
21,2.0,80,Frontcourt
22,15.0,56,Frontcourt
23,,34,Frontcourt
24,22.0,42,
25,,52,
26,50.0,36,
27,14.0,86,
28,1.0,66,Backcourt
30,2.0,64,Backcourt
32,3.0,30,
33,6.0,66,Backcourt
34,24.0,44,Frontcourt
35,,50,Backcourt
36,1.0,66,
37,2.0,60,Backcourt
38,1.0,49,Frontcourt
39,14.0,61,Frontcourt
40,,46,Frontcourt
41,16.0,51,
42,13.0,82,Frontcourt
43,,36,Frontcourt
44,16.0,58,Frontcourt
45,2.0,59,Frontcourt
46,1.0,24,Backcourt
47,20.0,88,Frontcourt
48,1.0,83,
49,8.0,76,Frontcourt
51,35.0,36,Backcourt
52,169.0,73,Backcourt
53,,53,Frontcourt
54,2.0,37,Frontcourt
55,,54,Frontcourt
56,,40,
58,6.0,62,Frontcourt
59,5.0,56,Backcourt
60,8.0,53,
61,19.0,59,
62,35.0,89,
63,,28,
64,,37,Backcourt
65,2.0,41,Frontcourt
66,,92,Backcourt
67,45.0,27,
68,29.0,39,Frontcourt
69,50.0,60,Frontcourt
70,35.0,57,Frontcourt
71,,81,Frontcourt
72,21.0,44,Backcourt
73,40.0,58,Frontcourt
75,48.0,35,Frontcourt
77,57.0,23,
78,,29,
79,,30,Backcourt
80,1.0,91,Frontcourt
81,8.0,45,
82,27.0,37,
83,44.0,61,
84,5.0,74,Frontcourt
85,4.0,52,
86,8.0,85,Frontcourt
87,8.0,78,Frontcourt
88,1.0,72,Frontcourt
89,,58,
91,1.0,73,Backcourt
92,11.0,34,
93,17.0,32,
94,10.0,79,
95,21.0,55,Frontcourt
96,,59,
97,,61,Backcourt
98,57.0,25,
99,9.0,32,Frontcourt
100,6.0,33,
101,2.0,29,Backcourt
102,3.0,31,
103,10.0,35,
104,1.0,33,
105,3.0,27,
106,,30,Frontcourt
107,1.0,30,
108,,24,
109,23.0,28,
110,3.0,29,Backcourt
111,1.0,21,Frontcourt
112,17.0,35,
113,,27,
114,5.0,37,
115,15.0,31,Frontcourt
116,7.0,37,Backcourt
117,3.0,39,Frontcourt
118,13.0,25,Backcourt
119,,31,
120,30.0,32,
121,1.0,24,
122,1.0,41,
123,30.0,36,
124,30.0,29,Frontcourt
125,13.0,30,
126,5.0,23,
127,24.0,39,Backcourt
128,3.0,62,Backcourt
129,13.0,29,Backcourt
130,35.0,35,Frontcourt
131,10.0,28,
132,7.0,23,Frontcourt
133,2.0,28,Backcourt
134,18.0,24,
135,5.0,22,
136,33.0,29,
137,1.0,53,Frontcourt
138,13.0,42,Backcourt
139,4.0,40,Backcourt
140,7.0,33,
141,14.0,28,
