olympic_gold_medals,college,age,id
0.0,Southeast Missouri State University,31,1
0.0,Michigan State Spartans,66,2
0.0,,31,3
0.0,University of Notre Dame,82,4
0.0,Georgia Tech,61,5
0.0,,31,6
0.0,Alabama,28,7
0.0,University of Nebraska,52,8
0.0,Texas Western College,82,9
0.0,University of Connecticut,75,10
0.0,University of Missouri,51,11
2.0,Kentucky,32,12
0.0,University of North Carolina at Chapel Hill,38,13
0.0,Kansas State University,54,14
0.0,Arizona State,35,15
0.0,Pepperdine University,37,16
0.0,Utah State University,75,17
0.0,Pan American University,66,18
0.0,"University of California, Los Angeles",56,19
0.0,Southwest Missouri State University,65,20
0.0,University of North Dakota,80,21
0.0,Seton Hall University,56,22
0.0,UCLA,34,23
0.0,Georgia Tech,42,24
0.0,Thomas More College,52,25
0.0,Temple University,36,26
0.0,Duquesne,86,27
1.0,Michigan State,66,28
0.0,,71,29
0.0,Indiana Hoosiers,64,30
0.0,,74,31
0.0,Duke,30,32
0.0,University of Minnesota,66,33
0.0,University of Florida,44,34
0.0,University of Arizona,50,35
0.0,Temple University,66,36
0.0,University of Florida,60,37
0.0,Wake Forest University,49,38
0.0,St. John's University,61,39
1.0,Stanford University,46,40
0.0,Kentucky,51,41
0.0,NYU,82,42
0.0,,36,43
0.0,University of Missouri,58,44
0.0,Marist College,59,45
1.0,Georgia,24,46
0.0,Northeast Missouri State Teachers' College,88,47
0.0,New York University,83,48
0.0,San Jose State University,76,49
0.0,,74,50
0.0,University of Florida,36,51
0.0,Seattle University,73,52
0.0,Texas Christian University,53,53
4.0,University of Texas at Austin,37,54
,Xavier University,54,55
0.0,Central Michigan University,40,56
0.0,Oregon State University,73,57
0.0,Memphis State University,62,58
1.0,Michigan State,56,59
0.0,Michigan State,53,60
0.0,DePaul University,59,61
0.0,Bradley University,89,62
0.0,Penn State Nittany Lions,28,63
0.0,Siena,37,64
0.0,Michigan State University,41,65
0.0,Loyola University in Chicago,92,66
0.0,University of Kentucky,27,67
0.0,Indiana Hoosiers,39,68
1.0,University of Arizona,60,69
0.0,UTEP,57,70
0.0,University of Southern California,81,71
0.0,University of North Carolina at Chapel Hill,44,72
0.0,,58,73
0.0,Oregon State University,66,74
0.0,,35,75
0.0,,66,76
0.0,Colorado,23,77
0.0,UNC Wilmington,29,78
0.0,"UCF Knights, Florida Gulf Coast Eagles",30,79
0.0,Notre Dame,91,80
0.0,University of Michigan,45,81
0.0,"Indiana University, Xavier University",37,82
0.0,Marquette,61,83
0.0,American University,74,84
0.0,University of Connecticut,52,85
0.0,University of Minnesota,85,86
0.0,Cheyney University of Pennsylvania,78,87
0.0,University of Maryland,72,88
0.0,"Long Island, John Marshall College",58,89
0.0,,80,90
0.0,Loyola University New Orleans,73,91
0.0,Syracuse Orange,34,92
0.0,,32,93
0.0,Kansas State University,79,94
0.0,Tennessee State University,55,95
0.0,,59,96
0.0,New York University,61,97
0.0,Indiana Hoosiers,25,98
0.0,University of Connecticut,32,99
0.0,Oklahoma Sooners,33,100
0.0,Ohio State,29,101
1.0,University of Kansas,31,102
1.0,Fresno State,35,103
1.0,Duke University,33,104
2.0,Duke University,27,105
0.0,"NC State Wolfpack, Nevada Wolf Pack",30,106
0.0,Kansas Jayhawks,30,107
0.0,Rice Owls,24,108
0.0,Indiana University,28,109
0.0,"University of California, Berkeley",29,110
0.0,,21,111
2.0,UCLA,35,112
0.0,"Wichita State Shockers, Oklahoma Sooners",27,113
1.0,UCLA,37,114
0.0,,31,115
1.0,Davidson,37,116
0.0,University of Florida,39,117
0.0,University of Kentucky,25,118
0.0,"Williams College, University of Michigan",31,119
0.0,UCLA,32,120
0.0,Oklahoma State,24,121
3.0,,41,122
1.0,Marquette University,36,123
0.0,UCLA,29,124
1.0,UCLA,30,125
0.0,Purdue,23,126
1.0,Villanova Wildcats,39,127
2.0,University of North Carolina,62,128
2.0,Kentucky Wildcats,29,129
2.0,Michigan State University,35,130
0.0,Gonzaga Bulldogs,28,131
0.0,,23,132
0.0,UCLA,28,133
0.0,UCLA,24,134
0.0,,22,135
0.0,Villanova University,29,136
1.0,Louisiana State University (LSU),53,137
2.0,,42,138
2.0,Wake Forest University,40,139
1.0,North Carolina Tar Heels,33,140
2.0,University of Kentucky,28,141
