id,olympic_gold_medals,college,age
1,0.0,Southeast Missouri State University,31
2,0.0,Michigan State Spartans,66
3,0.0,,31
4,0.0,University of Notre Dame,82
5,0.0,Georgia Tech,61
6,0.0,,31
7,0.0,Alabama,28
8,0.0,University of Nebraska,52
9,0.0,Texas Western College,82
10,0.0,University of Connecticut,75
11,0.0,University of Missouri,51
12,2.0,Kentucky,32
13,0.0,University of North Carolina at Chapel Hill,38
14,0.0,Kansas State University,54
15,0.0,Arizona State,35
16,0.0,Pepperdine University,37
17,0.0,Utah State University,75
18,0.0,Pan American University,66
19,0.0,"University of California, Los Angeles",56
20,0.0,Southwest Missouri State University,65
21,0.0,University of North Dakota,80
22,0.0,Seton Hall University,56
23,0.0,UCLA,34
24,0.0,Georgia Tech,42
25,0.0,Thomas More College,52
26,0.0,Temple University,36
27,0.0,Duquesne,86
28,1.0,Michigan State,66
29,0.0,,71
30,0.0,Indiana Hoosiers,64
31,0.0,,74
32,0.0,Duke,30
33,0.0,University of Minnesota,66
34,0.0,University of Florida,44
35,0.0,University of Arizona,50
36,0.0,Temple University,66
37,0.0,University of Florida,60
38,0.0,Wake Forest University,49
39,0.0,St. John's University,61
40,1.0,Stanford University,46
41,0.0,Kentucky,51
42,0.0,NYU,82
43,0.0,,36
44,0.0,University of Missouri,58
45,0.0,Marist College,59
46,1.0,Georgia,24
47,0.0,Northeast Missouri State Teachers' College,88
48,0.0,New York University,83
49,0.0,San Jose State University,76
50,0.0,,74
51,0.0,University of Florida,36
52,0.0,Seattle University,73
53,0.0,Texas Christian University,53
54,4.0,University of Texas at Austin,37
55,,Xavier University,54
56,0.0,Central Michigan University,40
57,0.0,Oregon State University,73
58,0.0,Memphis State University,62
59,1.0,Michigan State,56
60,0.0,Michigan State,53
61,0.0,DePaul University,59
62,0.0,Bradley University,89
63,0.0,Penn State Nittany Lions,28
64,0.0,Siena,37
65,0.0,Michigan State University,41
66,0.0,Loyola University in Chicago,92
67,0.0,University of Kentucky,27
68,0.0,Indiana Hoosiers,39
69,1.0,University of Arizona,60
70,0.0,UTEP,57
71,0.0,University of Southern California,81
72,0.0,University of North Carolina at Chapel Hill,44
73,0.0,,58
74,0.0,Oregon State University,66
75,0.0,,35
76,0.0,,66
77,0.0,Colorado,23
78,0.0,UNC Wilmington,29
79,0.0,"UCF Knights, Florida Gulf Coast Eagles",30
80,0.0,Notre Dame,91
81,0.0,University of Michigan,45
82,0.0,"Indiana University, Xavier University",37
83,0.0,Marquette,61
84,0.0,American University,74
85,0.0,University of Connecticut,52
86,0.0,University of Minnesota,85
87,0.0,Cheyney University of Pennsylvania,78
88,0.0,University of Maryland,72
89,0.0,"Long Island, John Marshall College",58
90,0.0,,80
91,0.0,Loyola University New Orleans,73
92,0.0,Syracuse Orange,34
93,0.0,,32
94,0.0,Kansas State University,79
95,0.0,Tennessee State University,55
96,0.0,,59
97,0.0,New York University,61
98,0.0,Indiana Hoosiers,25
99,0.0,University of Connecticut,32
100,0.0,Oklahoma Sooners,33
101,0.0,Ohio State,29
102,1.0,University of Kansas,31
103,1.0,Fresno State,35
104,1.0,Duke University,33
105,2.0,Duke University,27
106,0.0,"NC State Wolfpack, Nevada Wolf Pack",30
107,0.0,Kansas Jayhawks,30
108,0.0,Rice Owls,24
109,0.0,Indiana University,28
110,0.0,"University of California, Berkeley",29
111,0.0,,21
112,2.0,UCLA,35
113,0.0,"Wichita State Shockers, Oklahoma Sooners",27
114,1.0,UCLA,37
115,0.0,,31
116,1.0,Davidson,37
117,0.0,University of Florida,39
118,0.0,University of Kentucky,25
119,0.0,"Williams College, University of Michigan",31
120,0.0,UCLA,32
121,0.0,Oklahoma State,24
122,3.0,,41
123,1.0,Marquette University,36
124,0.0,UCLA,29
125,1.0,UCLA,30
126,0.0,Purdue,23
127,1.0,Villanova Wildcats,39
128,2.0,University of North Carolina,62
129,2.0,Kentucky Wildcats,29
130,2.0,Michigan State University,35
131,0.0,Gonzaga Bulldogs,28
132,0.0,,23
133,0.0,UCLA,28
134,0.0,UCLA,24
135,0.0,,22
136,0.0,Villanova University,29
137,1.0,Louisiana State University (LSU),53
138,2.0,,42
139,2.0,Wake Forest University,40
140,1.0,North Carolina Tar Heels,33
141,2.0,University of Kentucky,28
