nba_championships,name,olympic_gold_medals,id
0.0,Antonius Cleveland,0.0,1
0.0,Toby Kimball,0.0,10
0.0,"Chavano Rainer ""Buddy"" Hield",0.0,100
0.0,D'Angelo Russell,0.0,101
0.0,Joel Hans Embiid,1.0,102
0.0,Paul Clifton Anthony George,1.0,103
1.0,Kyrie Andrew Irving,1.0,104
1.0,Jayson Christopher Tatum,2.0,105
0.0,Caleb Martin,0.0,106
1.0,Andrew Christian Wiggins,0.0,107
0.0,Max Berning Fiedler,0.0,108
1.0,"Ogugua ""OG"" Anunoby Jr.",0.0,109
0.0,Derek Grimm,0.0,11
1.0,Jaylen Marselles Brown,0.0,110
0.0,Victor Wembanyama,0.0,111
2.0,Jrue Randall Holiday,2.0,112
0.0,Austin Tyler Reaves,0.0,113
1.0,Kevin Wesley Love,1.0,114
1.0,Giannis Sina Ugo Antetokounmpo,0.0,115
4.0,Wardell Stephen Curry II,1.0,116
1.0,Alfred Joel Horford Reynoso,0.0,117
0.0,Tyler Christopher Herro,0.0,118
0.0,Duncan McBryde Robinson,0.0,119
1.0,Anthony Marshon Davis Jr.,2.0,12
0.0,Kyle Forman Anderson,0.0,120
0.0,Cade Parker Cunningham,0.0,121
4.0,LeBron Raymone James Sr.,3.0,122
0.0,Jimmy Butler III,1.0,123
3.0,Kevon Grant Looney,0.0,124
0.0,Zachary Thomas LaVine,1.0,125
0.0,Jaden Edward Dhananjay Ivey,0.0,126
1.0,Kyle Terrell Lowry,1.0,127
6.0,Michael Jeffrey Jordan,2.0,128
0.0,Devin Armani Booker,2.0,129
0.0,Brandan Keith Wright,0.0,13
4.0,Draymond Jamal Green,2.0,130
0.0,Zach Collins,0.0,131
1.0,Jonathan Malangu Kuminga,0.0,132
0.0,Lonzo Anderson Ball,0.0,133
0.0,Jaime Jaquez Jr.,0.0,134
0.0,Ausar XLNC Thompson,0.0,135
0.0,Jalen Marquis Brunson,0.0,136
4.0,Shaquille Rashaun O'Neal,1.0,137
5.0,Kobe Bean Bryant,2.0,138
0.0,Christopher Emmanuel Paul,2.0,139
