draft_year,age,nationality,id
,31,American,1
,75,American,10
2016.0,33,Bahamian,100
2015.0,29,American,101
2014.0,31,Cameroonian-American,102
2010.0,35,American,103
2011.0,33,American,104
2017.0,27,American,105
2019.0,30,American,106
2014.0,30,Canadian,107
,24,American,108
2017.0,28,British,109
,51,American,11
2016.0,29,American,110
2023.0,21,French,111
2009.0,35,American,112
2021.0,27,American,113
2008.0,37,American,114
2013.0,31,Greek and Nigerian,115
2009.0,37,American,116
2007.0,39,Dominican,117
2019.0,25,American,118
,31,American,119
2012.0,32,American,12
2014.0,32,American-Chinese,120
2021.0,24,American,121
2003.0,41,American,122
2011.0,36,American,123
2015.0,29,American,124
2014.0,30,American,125
2022.0,23,American,126
2006.0,39,American,127
1984.0,62,American,128
2015.0,29,American,129
2007.0,38,American,13
2012.0,35,American,130
2017.0,28,American,131
2021.0,23,Congolese,132
2017.0,28,American,133
2023.0,24,Mexican-American,134
2023.0,22,American,135
2018.0,29,American,136
1992.0,53,American,137
1996.0,42,American,138
2005.0,40,American,139
,54,American-Venezuelan,14
2012.0,33,American,140
2017.0,28,American,141
2013.0,35,American,15
,37,American,16
1971.0,75,American,17
1981.0,66,American,18
,56,American,19
1981.0,66,American,2
1954.0,65,American,20
1967.0,80,American,21
1991.0,56,American,22
,34,American,23
2005.0,42,American,24
,52,American,25
2011.0,36,American,26
1950.0,86,American,27
1979.0,66,American,28
,71,,29
2015.0,31,Serbian,3
1981.0,64,American,30
1974.0,74,American,31
2015.0,30,Nigerian-American,32
1982.0,66,American,33
1990.0,44,American,34
,50,American,35
1958.0,66,American,36
1988.0,60,American,37
1997.0,49,American,38
1986.0,61,American,39
,82,American,4
,46,American,40
1996.0,51,American,41
1959.0,82,American,42
1953.0,36,American,43
1988.0,58,American,44
1988.0,59,Dutch,45
2020.0,24,American,46
1949.0,88,American,47
1952.0,83,American,48
1971.0,76,American,49
1986.0,61,American,5
,74,Canadian,50
2009.0,36,Greek-American,51
1974.0,73,,52
1995.0,53,American,53
2007.0,37,American,54
,54,American,55
,40,American,56
1972.0,73,American,57
1986.0,62,American,58
1991.0,56,American,59
2016.0,31,French,6
1995.0,53,American,60
1988.0,59,American,61
1951.0,89,American,62
,28,American,63
2010.0,37,American,64
2005.0,41,Slovenian,65
,92,American,66
2018.0,27,American,67
2008.0,39,American,68
1988.0,60,American,69
,28,Azerbaijani,7
1990.0,57,American,70
,81,American,71
2001.0,44,American,72
1989.0,58,Croatian,73
1981.0,66,American,74
2012.0,35,Greek,75
,66,American,76
2022.0,23,American,77
,29,American,78
,30,American,79
,52,American,8
1954.0,91,American,80
2000.0,45,American,81
2010.0,37,American,82
1987.0,61,American,83
1973.0,74,American,84
1994.0,52,American,85
1952.0,85,American,86
1970.0,78,American,87
1976.0,72,American,88
1952.0,58,American,89
1967.0,82,American,9
1968.0,80,American,90
1949.0,73,American,91
2013.0,34,American,92
2013.0,32,German,93
1958.0,79,American,94
1980.0,55,American,95
,59,American-Spanish,96
,61,American,97
2023.0,25,American,98
2012.0,32,American,99
