id,draft_year,age,nationality
1,,31,American
2,1981.0,66,American
3,2015.0,31,Serbian
4,,82,American
5,1986.0,61,American
6,2016.0,31,French
7,,28,Azerbaijani
8,,52,American
9,1967.0,82,American
10,,75,American
11,,51,American
12,2012.0,32,American
13,2007.0,38,American
14,,54,American-Venezuelan
15,2013.0,35,American
16,,37,American
17,1971.0,75,American
18,1981.0,66,American
19,,56,American
20,1954.0,65,American
21,1967.0,80,American
22,1991.0,56,American
23,,34,American
24,2005.0,42,American
25,,52,American
26,2011.0,36,American
27,1950.0,86,American
28,1979.0,66,American
29,,71,
30,1981.0,64,American
31,1974.0,74,American
32,2015.0,30,Nigerian-American
33,1982.0,66,American
34,1990.0,44,American
35,,50,American
36,1958.0,66,American
37,1988.0,60,American
38,1997.0,49,American
39,1986.0,61,American
40,,46,American
41,1996.0,51,American
42,1959.0,82,American
43,1953.0,36,American
44,1988.0,58,American
45,1988.0,59,Dutch
46,2020.0,24,American
47,1949.0,88,American
48,1952.0,83,American
49,1971.0,76,American
50,,74,Canadian
51,2009.0,36,Greek-American
52,1974.0,73,
53,1995.0,53,American
54,2007.0,37,American
55,,54,American
56,,40,American
57,1972.0,73,American
58,1986.0,62,American
59,1991.0,56,American
60,1995.0,53,American
61,1988.0,59,American
62,1951.0,89,American
63,,28,American
64,2010.0,37,American
65,2005.0,41,Slovenian
66,,92,American
67,2018.0,27,American
68,2008.0,39,American
69,1988.0,60,American
70,1990.0,57,American
71,,81,American
72,2001.0,44,American
73,1989.0,58,Croatian
74,1981.0,66,American
75,2012.0,35,Greek
76,,66,American
77,2022.0,23,American
78,,29,American
79,,30,American
80,1954.0,91,American
81,2000.0,45,American
82,2010.0,37,American
83,1987.0,61,American
84,1973.0,74,American
85,1994.0,52,American
86,1952.0,85,American
87,1970.0,78,American
88,1976.0,72,American
89,1952.0,58,American
90,1968.0,80,American
91,1949.0,73,American
92,2013.0,34,American
93,2013.0,32,German
94,1958.0,79,American
95,1980.0,55,American
96,,59,American-Spanish
97,,61,American
98,2023.0,25,American
99,2012.0,32,American
100,2016.0,33,Bahamian
101,2015.0,29,American
102,2014.0,31,Cameroonian-American
103,2010.0,35,American
104,2011.0,33,American
105,2017.0,27,American
106,2019.0,30,American
107,2014.0,30,Canadian
108,,24,American
109,2017.0,28,British
110,2016.0,29,American
111,2023.0,21,French
112,2009.0,35,American
113,2021.0,27,American
114,2008.0,37,American
115,2013.0,31,Greek and Nigerian
116,2009.0,37,American
117,2007.0,39,Dominican
118,2019.0,25,American
119,,31,American
120,2014.0,32,American-Chinese
121,2021.0,24,American
122,2003.0,41,American
123,2011.0,36,American
124,2015.0,29,American
125,2014.0,30,American
126,2022.0,23,American
127,2006.0,39,American
128,1984.0,62,American
129,2015.0,29,American
130,2012.0,35,American
131,2017.0,28,American
132,2021.0,23,Congolese
133,2017.0,28,American
134,2023.0,24,Mexican-American
135,2023.0,22,American
136,2018.0,29,American
137,1992.0,53,American
138,1996.0,42,American
139,2005.0,40,American
140,2012.0,33,American
141,2017.0,28,American
