olympic_gold_medals,age,team,id
0.0,31,Lokomotiv Kuban,1
0.0,66,Los Angeles Lakers,2
0.0,31,Cedevita Olimpija,3
0.0,82,Rochester Royals,4
0.0,61,Orlando Magic,5
0.0,31,Bursaspor Basketbol,6
0.0,28,Saski Baskonia,7
0.0,52,Milwaukee Bucks,8
0.0,82,New Orleans Jazz,9
0.0,75,New Orleans Jazz,10
0.0,51,Sacramento Kings,11
2.0,32,Los Angeles Lakers,12
0.0,38,Houston Rockets,13
0.0,54,Guaros de Lara,14
0.0,35,Melbourne United,15
0.0,37,Santa Cruz Warriors,16
0.0,75,,17
0.0,66,New York Knicks,18
0.0,56,Grand Rapids Hoops,19
0.0,65,New York Knicks,20
0.0,80,Los Angeles Lakers,21
0.0,56,PAOK Thessaloniki,22
0.0,34,Philadelphia 76ers,23
0.0,42,Detroit Pistons,24
0.0,52,HTV Basket,25
0.0,36,Philadelphia 76ers,26
0.0,86,Philadelphia Warriors,27
1.0,66,Los Angeles Lakers,28
0.0,71,Boston Celtics,29
0.0,64,Detroit Pistons,30
0.0,74,Portland Trail Blazers,31
0.0,30,Capitanes de Arecibo,32
0.0,66,Chicago Bulls,33
0.0,44,Brevard Blue Ducks,34
0.0,50,Phoenix Suns,35
0.0,66,Milwaukee Bucks,36
0.0,60,Dallas Mavericks,37
0.0,49,San Antonio Spurs,38
0.0,61,Panteras de Miranda,39
1.0,46,Philadelphia Warriors,40
0.0,51,New Mexico State,41
0.0,82,New York Knicks,42
0.0,36,Milwaukee Hawks,43
0.0,58,Cleveland Cavaliers,44
0.0,59,Indiana Pacers,45
1.0,24,Minnesota Timberwolves,46
0.0,88,Detroit Pistons,47
0.0,83,Milwaukee Hawks,48
0.0,76,Golden State Warriors,49
0.0,74,New York Knicks,50
0.0,36,AS Monaco,51
0.0,73,Seattle SuperSonics,52
0.0,53,New York Knicks,53
4.0,37,Phoenix Suns,54
,54,Los Angeles Clippers,55
0.0,40,Toronto Raptors,56
0.0,73,New Orleans Jazz,57
0.0,62,Grand Rapids Hoops,58
1.0,56,Charlotte Bobcats,59
0.0,53,,60
0.0,59,Houston Rockets,61
0.0,89,Milwaukee Hawks,62
0.0,28,Memphis Grizzlies,63
0.0,37,Debreceni EAC,64
0.0,41,Petrol Olimpija,65
0.0,92,Chicago Stags,66
0.0,27,Capital City Go-Go,67
0.0,39,Piratas de Quebradillas,68
1.0,60,Golden State Warriors,69
0.0,57,Indiana Pacers,70
0.0,81,Los Angeles Lakers,71
0.0,44,Maccabi Tel Aviv,72
0.0,58,Košarkaški klub Split,73
0.0,66,Seattle SuperSonics,74
0.0,35,Olympiacos,75
0.0,66,Washington Bullets,76
0.0,23,Portland Trail Blazers,77
0.0,29,Virtus Bologna,78
0.0,30,Gigantes de Carolina,79
0.0,91,Fort Wayne Pistons,80
0.0,45,Brooklyn Nets,81
0.0,37,Sichuan Blue Whales,82
0.0,61,Libertas Livorno,83
0.0,74,Golden State Warriors,84
0.0,52,Greensboro Swarm,85
0.0,85,Philadelphia Eagles,86
0.0,78,New York Knicks,87
0.0,72,Houston Rockets,88
0.0,58,Milwaukee Hawks,89
0.0,80,Boston Celtics,90
0.0,73,Syracuse Nationals,91
0.0,34,Mexico City Capitanes,92
0.0,32,Brooklyn Nets,93
0.0,79,Cincinnati Royals,94
0.0,55,Dallas Mavericks,95
0.0,59,Utah Jazz,96
0.0,61,Baltimore Bullets,97
0.0,25,Golden State Warriors,98
0.0,32,Philadelphia 76ers,99
0.0,33,Golden State Warriors,100
0.0,29,Los Angeles Lakers,101
1.0,31,Philadelphia 76ers,102
1.0,35,Philadelphia 76ers,103
1.0,33,Dallas Mavericks,104
2.0,27,Boston Celtics,105
0.0,30,Philadelphia 76ers,106
0.0,30,Golden State Warriors,107
0.0,24,Philadelphia 76ers,108
0.0,28,New York Knicks,109
0.0,29,Boston Celtics,110
0.0,21,San Antonio Spurs,111
2.0,35,Boston Celtics,112
0.0,27,Los Angeles Lakers,113
1.0,37,Miami Heat,114
0.0,31,Milwaukee Bucks,115
1.0,37,Golden State Warriors,116
0.0,39,Boston Celtics,117
0.0,25,Miami Heat,118
0.0,31,Miami Heat,119
0.0,32,Golden State Warriors,120
0.0,24,Detroit Pistons,121
3.0,41,Los Angeles Lakers,122
1.0,36,Miami Heat,123
0.0,29,Golden State Warriors,124
1.0,30,Chicago Bulls,125
0.0,23,Detroit Pistons,126
1.0,39,Philadelphia 76ers,127
2.0,62,Washington Wizards,128
2.0,29,Phoenix Suns,129
2.0,35,Golden State Warriors,130
0.0,28,San Antonio Spurs,131
0.0,23,Golden State Warriors,132
0.0,28,Chicago Bulls,133
0.0,24,Miami Heat,134
0.0,22,Detroit Pistons,135
0.0,29,New York Knicks,136
1.0,53,Boston Celtics,137
2.0,42,Los Angeles Lakers,138
2.0,40,San Antonio Spurs,139
1.0,33,San Antonio Spurs,140
2.0,28,Miami Heat,141
