id,olympic_gold_medals,age,team
1,0.0,31,Lokomotiv Kuban
2,0.0,66,Los Angeles Lakers
3,0.0,31,Cedevita Olimpija
4,0.0,82,Rochester Royals
5,0.0,61,Orlando Magic
6,0.0,31,Bursaspor Basketbol
7,0.0,28,Saski Baskonia
8,0.0,52,Milwaukee Bucks
9,0.0,82,New Orleans Jazz
10,0.0,75,New Orleans Jazz
11,0.0,51,Sacramento Kings
12,2.0,32,Los Angeles Lakers
13,0.0,38,Houston Rockets
14,0.0,54,Guaros de Lara
15,0.0,35,Melbourne United
16,0.0,37,Santa Cruz Warriors
17,0.0,75,
18,0.0,66,New York Knicks
19,0.0,56,Grand Rapids Hoops
20,0.0,65,New York Knicks
21,0.0,80,Los Angeles Lakers
22,0.0,56,PAOK Thessaloniki
23,0.0,34,Philadelphia 76ers
24,0.0,42,Detroit Pistons
25,0.0,52,HTV Basket
26,0.0,36,Philadelphia 76ers
27,0.0,86,Philadelphia Warriors
28,1.0,66,Los Angeles Lakers
29,0.0,71,Boston Celtics
30,0.0,64,Detroit Pistons
31,0.0,74,Portland Trail Blazers
32,0.0,30,Capitanes de Arecibo
33,0.0,66,Chicago Bulls
34,0.0,44,Brevard Blue Ducks
35,0.0,50,Phoenix Suns
36,0.0,66,Milwaukee Bucks
37,0.0,60,Dallas Mavericks
38,0.0,49,San Antonio Spurs
39,0.0,61,Panteras de Miranda
40,1.0,46,Philadelphia Warriors
41,0.0,51,New Mexico State
42,0.0,82,New York Knicks
43,0.0,36,Milwaukee Hawks
44,0.0,58,Cleveland Cavaliers
45,0.0,59,Indiana Pacers
46,1.0,24,Minnesota Timberwolves
47,0.0,88,Detroit Pistons
48,0.0,83,Milwaukee Hawks
49,0.0,76,Golden State Warriors
50,0.0,74,New York Knicks
51,0.0,36,AS Monaco
52,0.0,73,Seattle SuperSonics
53,0.0,53,New York Knicks
54,4.0,37,Phoenix Suns
55,,54,Los Angeles Clippers
56,0.0,40,Toronto Raptors
57,0.0,73,New Orleans Jazz
58,0.0,62,Grand Rapids Hoops
59,1.0,56,Charlotte Bobcats
60,0.0,53,
61,0.0,59,Houston Rockets
62,0.0,89,Milwaukee Hawks
63,0.0,28,Memphis Grizzlies
64,0.0,37,Debreceni EAC
65,0.0,41,Petrol Olimpija
66,0.0,92,Chicago Stags
67,0.0,27,Capital City Go-Go
68,0.0,39,Piratas de Quebradillas
69,1.0,60,Golden State Warriors
70,0.0,57,Indiana Pacers
71,0.0,81,Los Angeles Lakers
72,0.0,44,Maccabi Tel Aviv
73,0.0,58,Košarkaški klub Split
74,0.0,66,Seattle SuperSonics
75,0.0,35,Olympiacos
76,0.0,66,Washington Bullets
77,0.0,23,Portland Trail Blazers
78,0.0,29,Virtus Bologna
79,0.0,30,Gigantes de Carolina
80,0.0,91,Fort Wayne Pistons
81,0.0,45,Brooklyn Nets
82,0.0,37,Sichuan Blue Whales
83,0.0,61,Libertas Livorno
84,0.0,74,Golden State Warriors
85,0.0,52,Greensboro Swarm
86,0.0,85,Philadelphia Eagles
87,0.0,78,New York Knicks
88,0.0,72,Houston Rockets
89,0.0,58,Milwaukee Hawks
90,0.0,80,Boston Celtics
91,0.0,73,Syracuse Nationals
92,0.0,34,Mexico City Capitanes
93,0.0,32,Brooklyn Nets
94,0.0,79,Cincinnati Royals
95,0.0,55,Dallas Mavericks
96,0.0,59,Utah Jazz
97,0.0,61,Baltimore Bullets
98,0.0,25,Golden State Warriors
99,0.0,32,Philadelphia 76ers
100,0.0,33,Golden State Warriors
101,0.0,29,Los Angeles Lakers
102,1.0,31,Philadelphia 76ers
103,1.0,35,Philadelphia 76ers
104,1.0,33,Dallas Mavericks
105,2.0,27,Boston Celtics
106,0.0,30,Philadelphia 76ers
107,0.0,30,Golden State Warriors
108,0.0,24,Philadelphia 76ers
109,0.0,28,New York Knicks
110,0.0,29,Boston Celtics
111,0.0,21,San Antonio Spurs
112,2.0,35,Boston Celtics
113,0.0,27,Los Angeles Lakers
114,1.0,37,Miami Heat
115,0.0,31,Milwaukee Bucks
116,1.0,37,Golden State Warriors
117,0.0,39,Boston Celtics
118,0.0,25,Miami Heat
119,0.0,31,Miami Heat
120,0.0,32,Golden State Warriors
121,0.0,24,Detroit Pistons
122,3.0,41,Los Angeles Lakers
123,1.0,36,Miami Heat
124,0.0,29,Golden State Warriors
125,1.0,30,Chicago Bulls
126,0.0,23,Detroit Pistons
127,1.0,39,Philadelphia 76ers
128,2.0,62,Washington Wizards
129,2.0,29,Phoenix Suns
130,2.0,35,Golden State Warriors
131,0.0,28,San Antonio Spurs
132,0.0,23,Golden State Warriors
133,0.0,28,Chicago Bulls
134,0.0,24,Miami Heat
135,0.0,22,Detroit Pistons
136,0.0,29,New York Knicks
137,1.0,53,Boston Celtics
138,2.0,42,Los Angeles Lakers
139,2.0,40,San Antonio Spurs
140,1.0,33,San Antonio Spurs
141,2.0,28,Miami Heat
