mvp_awards,draft_pick,name,id
1,1.0,Anthony Marshon Davis Jr.,12
3,1.0,Magic Johnson,28
1,2.0,Isiah Thomas,30
2,1.0,Tim Duncan,38
1,2.0,Kevin Wayne Durant,54
1,,Nathaniel Thomas Huffman,56
1,3.0,Joel Hans Embiid,102
1,3.0,Jayson Christopher Tatum,105
1,3.0,Jaylen Marselles Brown,110
1,17.0,Jrue Randall Holiday,112
2,15.0,Giannis Sina Ugo Antetokounmpo,115
2,7.0,Wardell Stephen Curry II,116
4,1.0,LeBron Raymone James Sr.,122
5,3.0,Michael Jeffrey Jordan,128
1,1.0,Shaquille Rashaun O'Neal,137
1,13.0,Kobe Bean Bryant,138
1,4.0,Christopher Emmanuel Paul,139
