id,mvp_awards,draft_pick,name
12,1,1.0,Anthony Marshon Davis Jr.
28,3,1.0,Magic Johnson
30,1,2.0,Isiah Thomas
38,2,1.0,Tim Duncan
54,1,2.0,Kevin Wayne Durant
56,1,,Nathaniel Thomas Huffman
102,1,3.0,Joel Hans Embiid
105,1,3.0,Jayson Christopher Tatum
110,1,3.0,Jaylen Marselles Brown
112,1,17.0,Jrue Randall Holiday
115,2,15.0,Giannis Sina Ugo Antetokounmpo
116,2,7.0,Wardell Stephen Curry II
122,4,1.0,LeBron Raymone James Sr.
128,5,3.0,Michael Jeffrey Jordan
137,1,1.0,Shaquille Rashaun O'Neal
138,1,13.0,Kobe Bean Bryant
139,1,4.0,Christopher Emmanuel Paul
