position,nationality,olympic_gold_medals,id
,American,0.0,1
Frontcourt,American,0.0,10
,Bahamian,0.0,100
Backcourt,American,0.0,101
,Cameroonian-American,1.0,102
,American,1.0,103
,American,1.0,104
,American,2.0,105
Frontcourt,American,0.0,106
,Canadian,0.0,107
,American,0.0,108
,British,0.0,109
Frontcourt,American,0.0,11
Backcourt,American,0.0,110
Frontcourt,French,0.0,111
,American,2.0,112
,American,0.0,113
,American,1.0,114
Frontcourt,Greek and Nigerian,0.0,115
Backcourt,American,1.0,116
Frontcourt,Dominican,0.0,117
Backcourt,American,0.0,118
,American,0.0,119
Frontcourt,American,2.0,12
,American-Chinese,0.0,120
,American,0.0,121
,American,3.0,122
,American,1.0,123
Frontcourt,American,0.0,124
,American,1.0,125
,American,0.0,126
Backcourt,American,1.0,127
Backcourt,American,2.0,128
Backcourt,American,2.0,129
,American,0.0,13
Frontcourt,American,2.0,130
,American,0.0,131
Frontcourt,Congolese,0.0,132
Backcourt,American,0.0,133
,Mexican-American,0.0,134
,American,0.0,135
,American,0.0,136
Frontcourt,American,1.0,137
Backcourt,American,2.0,138
Backcourt,American,2.0,139
Backcourt,American-Venezuelan,0.0,14
,American,1.0,140
,American,2.0,141
Backcourt,American,0.0,15
Backcourt,American,0.0,16
,American,0.0,17
,American,0.0,18
,American,0.0,19
Frontcourt,American,0.0,2
,American,0.0,20
Frontcourt,American,0.0,21
Frontcourt,American,0.0,22
Frontcourt,American,0.0,23
,American,0.0,24
,American,0.0,25
,American,0.0,26
,American,0.0,27
Backcourt,American,1.0,28
,,0.0,29
Backcourt,Serbian,0.0,3
Backcourt,American,0.0,30
,American,0.0,31
,Nigerian-American,0.0,32
Backcourt,American,0.0,33
Frontcourt,American,0.0,34
Backcourt,American,0.0,35
,American,0.0,36
Backcourt,American,0.0,37
Frontcourt,American,0.0,39
,American,0.0,4
Frontcourt,American,1.0,40
,American,0.0,41
Frontcourt,American,0.0,42
Frontcourt,American,0.0,43
Frontcourt,American,0.0,44
Frontcourt,Dutch,0.0,45
Backcourt,American,1.0,46
Frontcourt,American,0.0,47
,American,0.0,48
Frontcourt,American,0.0,49
Backcourt,American,0.0,5
Frontcourt,Canadian,0.0,50
Backcourt,Greek-American,0.0,51
Backcourt,,0.0,52
Frontcourt,American,0.0,53
Frontcourt,American,4.0,54
Frontcourt,American,,55
,American,0.0,57
Frontcourt,American,0.0,58
Backcourt,American,1.0,59
Backcourt,French,0.0,6
,American,0.0,60
,American,0.0,61
,American,0.0,62
,American,0.0,63
Backcourt,American,0.0,64
Frontcourt,Slovenian,0.0,65
Backcourt,American,0.0,66
,American,0.0,67
Frontcourt,American,0.0,68
Frontcourt,American,1.0,69
,Azerbaijani,0.0,7
Frontcourt,American,0.0,70
Frontcourt,American,0.0,71
Backcourt,American,0.0,72
Frontcourt,Croatian,0.0,73
,American,0.0,74
Frontcourt,Greek,0.0,75
,American,0.0,76
,American,0.0,77
,American,0.0,78
Backcourt,American,0.0,79
,American,0.0,8
Frontcourt,American,0.0,80
,American,0.0,81
,American,0.0,82
,American,0.0,83
Frontcourt,American,0.0,84
,American,0.0,85
Frontcourt,American,0.0,86
Frontcourt,American,0.0,87
Frontcourt,American,0.0,88
,American,0.0,89
Frontcourt,American,0.0,9
,American,0.0,90
Backcourt,American,0.0,91
,American,0.0,92
,German,0.0,93
,American,0.0,94
Frontcourt,American,0.0,95
,American-Spanish,0.0,96
Backcourt,American,0.0,97
,American,0.0,98
Frontcourt,American,0.0,99
