id,position,nationality,olympic_gold_medals
1,,American,0.0
2,Frontcourt,American,0.0
3,Backcourt,Serbian,0.0
4,,American,0.0
5,Backcourt,American,0.0
6,Backcourt,French,0.0
7,,Azerbaijani,0.0
8,,American,0.0
9,Frontcourt,American,0.0
10,Frontcourt,American,0.0
11,Frontcourt,American,0.0
12,Frontcourt,American,2.0
13,,American,0.0
14,Backcourt,American-Venezuelan,0.0
15,Backcourt,American,0.0
16,Backcourt,American,0.0
17,,American,0.0
18,,American,0.0
19,,American,0.0
20,,American,0.0
21,Frontcourt,American,0.0
22,Frontcourt,American,0.0
23,Frontcourt,American,0.0
24,,American,0.0
25,,American,0.0
26,,American,0.0
27,,American,0.0
28,Backcourt,American,1.0
29,,,0.0
30,Backcourt,American,0.0
31,,American,0.0
32,,Nigerian-American,0.0
33,Backcourt,American,0.0
34,Frontcourt,American,0.0
35,Backcourt,American,0.0
36,,American,0.0
37,Backcourt,American,0.0
39,Frontcourt,American,0.0
40,Frontcourt,American,1.0
41,,American,0.0
42,Frontcourt,American,0.0
43,Frontcourt,American,0.0
44,Frontcourt,American,0.0
45,Frontcourt,Dutch,0.0
46,Backcourt,American,1.0
47,Frontcourt,American,0.0
48,,American,0.0
49,Frontcourt,American,0.0
50,Frontcourt,Canadian,0.0
51,Backcourt,Greek-American,0.0
52,Backcourt,,0.0
53,Frontcourt,American,0.0
54,Frontcourt,American,4.0
55,Frontcourt,American,
57,,American,0.0
58,Frontcourt,American,0.0
59,Backcourt,American,1.0
60,,American,0.0
61,,American,0.0
62,,American,0.0
63,,American,0.0
64,Backcourt,American,0.0
65,Frontcourt,Slovenian,0.0
66,Backcourt,American,0.0
67,,American,0.0
68,Frontcourt,American,0.0
69,Frontcourt,American,1.0
70,Frontcourt,American,0.0
71,Frontcourt,American,0.0
72,Backcourt,American,0.0
73,Frontcourt,Croatian,0.0
74,,American,0.0
75,Frontcourt,Greek,0.0
76,,American,0.0
77,,American,0.0
78,,American,0.0
79,Backcourt,American,0.0
80,Frontcourt,American,0.0
81,,American,0.0
82,,American,0.0
83,,American,0.0
84,Frontcourt,American,0.0
85,,American,0.0
86,Frontcourt,American,0.0
87,Frontcourt,American,0.0
88,Frontcourt,American,0.0
89,,American,0.0
90,,American,0.0
91,Backcourt,American,0.0
92,,American,0.0
93,,German,0.0
94,,American,0.0
95,Frontcourt,American,0.0
96,,American-Spanish,0.0
97,Backcourt,American,0.0
98,,American,0.0
99,Frontcourt,American,0.0
100,,Bahamian,0.0
101,Backcourt,American,0.0
102,,Cameroonian-American,1.0
103,,American,1.0
104,,American,1.0
105,,American,2.0
106,Frontcourt,American,0.0
107,,Canadian,0.0
108,,American,0.0
109,,British,0.0
110,Backcourt,American,0.0
111,Frontcourt,French,0.0
112,,American,2.0
113,,American,0.0
114,,American,1.0
115,Frontcourt,Greek and Nigerian,0.0
116,Backcourt,American,1.0
117,Frontcourt,Dominican,0.0
118,Backcourt,American,0.0
119,,American,0.0
120,,American-Chinese,0.0
121,,American,0.0
122,,American,3.0
123,,American,1.0
124,Frontcourt,American,0.0
125,,American,1.0
126,,American,0.0
127,Backcourt,American,1.0
128,Backcourt,American,2.0
129,Backcourt,American,2.0
130,Frontcourt,American,2.0
131,,American,0.0
132,Frontcourt,Congolese,0.0
133,Backcourt,American,0.0
134,,Mexican-American,0.0
135,,American,0.0
136,,American,0.0
137,Frontcourt,American,1.0
138,Backcourt,American,2.0
139,Backcourt,American,2.0
140,,American,1.0
141,,American,2.0
