team,nationality,fiba_world_cup,id
Golden State Warriors,American-Chinese,0.0,120
Miami Heat,American,0.0,123
Golden State Warriors,American,0.0,124
Philadelphia 76ers,American,0.0,127
Golden State Warriors,American,0.0,130
New York Knicks,American,0.0,136
Melbourne United,American,0.0,15
,American,0.0,17
Los Angeles Lakers,American,0.0,2
New York Knicks,American,0.0,20
Philadelphia 76ers,American,0.0,26
Cedevita Olimpija,Serbian,0.0,3
Brevard Blue Ducks,American,0.0,34
Orlando Magic,American,1.0,5
AS Monaco,Greek-American,0.0,51
Seattle SuperSonics,,0.0,52
Milwaukee Hawks,American,0.0,62
Capital City Go-Go,American,0.0,67
Piratas de Quebradillas,American,0.0,68
Golden State Warriors,American,1.0,69
Indiana Pacers,American,0.0,70
Košarkaški klub Split,Croatian,1.0,73
Seattle SuperSonics,American,0.0,74
Olympiacos,Greek,0.0,75
Portland Trail Blazers,American,0.0,77
Sichuan Blue Whales,American,0.0,82
Libertas Livorno,American,0.0,83
Golden State Warriors,American,0.0,98
