id,team,nationality,fiba_world_cup
2,Los Angeles Lakers,American,0.0
3,Cedevita Olimpija,Serbian,0.0
5,Orlando Magic,American,1.0
15,Melbourne United,American,0.0
17,,American,0.0
20,New York Knicks,American,0.0
26,Philadelphia 76ers,American,0.0
34,Brevard Blue Ducks,American,0.0
51,AS Monaco,Greek-American,0.0
52,Seattle SuperSonics,,0.0
62,Milwaukee Hawks,American,0.0
67,Capital City Go-Go,American,0.0
68,Piratas de Quebradillas,American,0.0
69,Golden State Warriors,American,1.0
70,Indiana Pacers,American,0.0
73,Košarkaški klub Split,Croatian,1.0
74,Seattle SuperSonics,American,0.0
75,Olympiacos,Greek,0.0
77,Portland Trail Blazers,American,0.0
82,Sichuan Blue Whales,American,0.0
83,Libertas Livorno,American,0.0
98,Golden State Warriors,American,0.0
120,Golden State Warriors,American-Chinese,0.0
123,Miami Heat,American,0.0
124,Golden State Warriors,American,0.0
127,Philadelphia 76ers,American,0.0
130,Golden State Warriors,American,0.0
136,New York Knicks,American,0.0
