college,age,position,id
Southeast Missouri State University,31,,1
,31,Backcourt,3
,31,Backcourt,6
Alabama,28,,7
University of North Carolina at Chapel Hill,38,,13
Arizona State,35,Backcourt,15
Pepperdine University,37,Backcourt,16
UCLA,34,Frontcourt,23
Temple University,36,,26
Duke,30,,32
,36,Frontcourt,43
Georgia,24,Backcourt,46
University of Florida,36,Backcourt,51
Central Michigan University,40,,56
Penn State Nittany Lions,28,,63
Siena,37,Backcourt,64
Michigan State University,41,Frontcourt,65
University of Kentucky,27,,67
Indiana Hoosiers,39,Frontcourt,68
,35,Frontcourt,75
Colorado,23,,77
UNC Wilmington,29,,78
"UCF Knights, Florida Gulf Coast Eagles",30,Backcourt,79
"Indiana University, Xavier University",37,,82
Syracuse Orange,34,,92
,32,,93
Indiana Hoosiers,25,,98
University of Connecticut,32,Frontcourt,99
Oklahoma Sooners,33,,100
Ohio State,29,Backcourt,101
University of Kansas,31,,102
Fresno State,35,,103
Duke University,33,,104
"NC State Wolfpack, Nevada Wolf Pack",30,Frontcourt,106
Kansas Jayhawks,30,,107
Rice Owls,24,,108
Indiana University,28,,109
"University of California, Berkeley",29,Backcourt,110
,21,Frontcourt,111
"Wichita State Shockers, Oklahoma Sooners",27,,113
UCLA,37,,114
,31,Frontcourt,115
Davidson,37,Backcourt,116
University of Florida,39,Frontcourt,117
University of Kentucky,25,Backcourt,118
"Williams College, University of Michigan",31,,119
UCLA,32,,120
Oklahoma State,24,,121
Marquette University,36,,123
UCLA,29,Frontcourt,124
UCLA,30,,125
Purdue,23,,126
Villanova Wildcats,39,Backcourt,127
Gonzaga Bulldogs,28,,131
,23,Frontcourt,132
UCLA,28,Backcourt,133
UCLA,24,,134
,22,,135
Villanova University,29,,136
North Carolina Tar Heels,33,,140
