id,college,age,position
1,Southeast Missouri State University,31,
3,,31,Backcourt
6,,31,Backcourt
7,Alabama,28,
13,University of North Carolina at Chapel Hill,38,
15,Arizona State,35,Backcourt
16,Pepperdine University,37,Backcourt
23,UCLA,34,Frontcourt
26,Temple University,36,
32,Duke,30,
43,,36,Frontcourt
46,Georgia,24,Backcourt
51,University of Florida,36,Backcourt
56,Central Michigan University,40,
63,Penn State Nittany Lions,28,
64,Siena,37,Backcourt
65,Michigan State University,41,Frontcourt
67,University of Kentucky,27,
68,Indiana Hoosiers,39,Frontcourt
75,,35,Frontcourt
77,Colorado,23,
78,UNC Wilmington,29,
79,"UCF Knights, Florida Gulf Coast Eagles",30,Backcourt
82,"Indiana University, Xavier University",37,
92,Syracuse Orange,34,
93,,32,
98,Indiana Hoosiers,25,
99,University of Connecticut,32,Frontcourt
100,Oklahoma Sooners,33,
101,Ohio State,29,Backcourt
102,University of Kansas,31,
103,Fresno State,35,
104,Duke University,33,
106,"NC State Wolfpack, Nevada Wolf Pack",30,Frontcourt
107,Kansas Jayhawks,30,
108,Rice Owls,24,
109,Indiana University,28,
110,"University of California, Berkeley",29,Backcourt
111,,21,Frontcourt
113,"Wichita State Shockers, Oklahoma Sooners",27,
114,UCLA,37,
115,,31,Frontcourt
116,Davidson,37,Backcourt
117,University of Florida,39,Frontcourt
118,University of Kentucky,25,Backcourt
119,"Williams College, University of Michigan",31,
120,UCLA,32,
121,Oklahoma State,24,
123,Marquette University,36,
124,UCLA,29,Frontcourt
125,UCLA,30,
126,Purdue,23,
127,Villanova Wildcats,39,Backcourt
131,Gonzaga Bulldogs,28,
132,,23,Frontcourt
133,UCLA,28,Backcourt
134,UCLA,24,
135,,22,
136,Villanova University,29,
140,North Carolina Tar Heels,33,
