nationality,name,draft_year,id
American,Jay Vincent Jay Fletcher Vincent,1981.0,2
Serbian,Nikola Radi?evi?,2015.0,3
American,Mark Price,1986.0,5
French,David Michineau,2016.0,6
American,David Lattin,1967.0,9
American,Anthony Marshon Davis Jr.,2012.0,12
American,Brandan Keith Wright,2007.0,13
American,Carrick Felix,2013.0,15
American,Marvin Roberts,1971.0,17
American,"Kenneth ""Apple"" Green",1981.0,18
American,Don Anielak,1954.0,20
American,Philip Douglas Jackson,1967.0,21
American,Anthony Avent,1991.0,22
American,Jarrett Jack,2005.0,24
American,Lavoy Allen,2011.0,26
American,Ed Dahler Edward Dahler Jr.,1950.0,27
American,Magic Johnson,1979.0,28
American,Isiah Thomas,1981.0,30
American,Dan Anderson,1974.0,31
Nigerian-American,Jahlil Okafor,2015.0,32
American,Trent Tucker,1982.0,33
American,Dwayne Kenneth Schintzius,1990.0,34
American,Guy William Rodgers,1958.0,36
American,Vernon Maxwell,1988.0,37
American,Tim Duncan,1997.0,38
American,Walter Berry,1986.0,39
American,Tony Lorenzo Delk,1996.0,41
American,Calvin Ramsey,1959.0,42
American,Gene Dyker Eugene Walter Dyker,1953.0,43
American,Derrick Chievous,1988.0,44
Dutch,Rik Smits,1988.0,45
American,Anthony Edwards,2020.0,46
American,"Harry Junior ""The Horse"" Gallatin",1949.0,47
American,Jim Brasco,1952.0,48
American,Darnell Hillman,1971.0,49
Greek-American,Nicholas William Calathes,2009.0,51
American,Kurt Thomas,1995.0,53
American,Kevin Wayne Durant,2007.0,54
American,Fred Boyd,1972.0,57
American,William Bedford,1986.0,58
American,Steve Smith,1991.0,59
American,Shawn Christopher Respert,1995.0,60
American,Rodney Strickland,1988.0,61
American,Elmer H. Behnke,1951.0,62
American,Ronald Moore,2010.0,64
Slovenian,Erazem Lorbek,2005.0,65
American,"Dewayne ""D. J."" White, Jr.",2008.0,68
American,Steve Kerr,1988.0,69
American,Gregory Clinton Foster,1990.0,70
American,Joseph Xavier Forte,2001.0,72
Croatian,Dino Rađa,1989.0,73
American,Mark Jeffrey Radford,1981.0,74
Greek,Kostas Papanikolaou,2012.0,75
American,Jabari Dominic Walker,2022.0,77
American,Dick Rosenthal,1954.0,80
American,Jamal Crawford,2000.0,81
American,Jordan Lee Crawford,2010.0,82
American,Tom Copa,1987.0,83
American,Kermit Washington,1973.0,84
American,Donyell Marshall,1994.0,85
American,Wayne Lavern Robinson,1952.0,86
American,Greg Fillmore Gregory Paul Fillmore,1970.0,87
American,John Harding Lucas II,1976.0,88
American,Dick Surhoff,1952.0,89
American,Garfield Smith,1968.0,90
American,Leroy Patrick Chollet,1949.0,91
American,Michael Carter-Williams,2013.0,92
American,Jack Parr,1958.0,94
American,"Monti Davis DaMon William ""Monti"" Davis",1980.0,95
American,Trayce Jackson-Davis,2023.0,98
American,Andre Jamal Drummond,2012.0,99
Bahamian,"Chavano Rainer ""Buddy"" Hield",2016.0,100
American,D'Angelo Russell,2015.0,101
Cameroonian-American,Joel Hans Embiid,2014.0,102
American,Paul Clifton Anthony George,2010.0,103
American,Kyrie Andrew Irving,2011.0,104
American,Jayson Christopher Tatum,2017.0,105
American,Caleb Martin,2019.0,106
Canadian,Andrew Christian Wiggins,2014.0,107
British,"Ogugua ""OG"" Anunoby Jr.",2017.0,109
American,Jaylen Marselles Brown,2016.0,110
French,Victor Wembanyama,2023.0,111
American,Jrue Randall Holiday,2009.0,112
American,Austin Tyler Reaves,2021.0,113
American,Kevin Wesley Love,2008.0,114
Greek and Nigerian,Giannis Sina Ugo Antetokounmpo,2013.0,115
American,Wardell Stephen Curry II,2009.0,116
Dominican,Alfred Joel Horford Reynoso,2007.0,117
American,Tyler Christopher Herro,2019.0,118
American-Chinese,Kyle Forman Anderson,2014.0,120
American,Cade Parker Cunningham,2021.0,121
American,LeBron Raymone James Sr.,2003.0,122
American,Jimmy Butler III,2011.0,123
American,Kevon Grant Looney,2015.0,124
American,Zachary Thomas LaVine,2014.0,125
American,Jaden Edward Dhananjay Ivey,2022.0,126
American,Kyle Terrell Lowry,2006.0,127
American,Michael Jeffrey Jordan,1984.0,128
American,Devin Armani Booker,2015.0,129
American,Draymond Jamal Green,2012.0,130
American,Zach Collins,2017.0,131
Congolese,Jonathan Malangu Kuminga,2021.0,132
American,Lonzo Anderson Ball,2017.0,133
Mexican-American,Jaime Jaquez Jr.,2023.0,134
American,Ausar XLNC Thompson,2023.0,135
American,Shaquille Rashaun O'Neal,1992.0,137
American,Kobe Bean Bryant,1996.0,138
American,Christopher Emmanuel Paul,2005.0,139
American,Harrison Bryce Jordan Barnes,2012.0,140
American,"Edrice Femi ""Bam"" Adebayo",2017.0,141
