fiba_world_cup,nba_championships,birth_date,id
0.0,0.0,1994/2/2,1
0.0,0.0,1959/6/10,2
0.0,0.0,1994/4/25,3
0.0,0.0,1922/9/9,4
1.0,0.0,1964/2/15,5
0.0,0.0,1994/6/6,6
0.0,0.0,1997/8/7,7
0.0,0.0,1973/11/25,8
0.0,0.0,1943/12/23,9
0.0,0.0,1942/9/7,10
0.0,0.0,1974/8/3,11
0.0,0.0,1987/10/5,13
0.0,0.0,1971/12/3,14
0.0,0.0,1990/8/17,15
0.0,0.0,1988/6/1,16
0.0,0.0,1950/1/29,17
0.0,0.0,1959/9/19,18
0.0,0.0,1969/4/18,19
0.0,0.0,1930/11/1,20
0.0,0.0,1969/10/18,22
0.0,0.0,1990/7/12,23
0.0,0.0,1983/10/28,24
0.0,0.0,1973/8/22,25
0.0,0.0,1989/2/4,26
0.0,0.0,1926/1/31,27
0.0,0.0,1920/9/19,29
0.0,0.0,1951/1/1,31
0.0,0.0,1968/10/14,34
0.0,0.0,1935/9/1,36
0.0,0.0,1964/5/14,39
0.0,0.0,1930/8/29,40
0.0,0.0,1974/1/28,41
0.0,0.0,1937/7/13,42
0.0,0.0,1930/2/17,43
0.0,0.0,1967/7/3,44
1.0,0.0,1966/8/23,45
0.0,0.0,2001/8/5,46
0.0,0.0,1927/4/26,47
0.0,0.0,1931/2/3,48
1.0,0.0,1949/8/29,49
0.0,0.0,1951/6/2,50
0.0,0.0,1989/2/7,51
0.0,0.0,1952/3/11,52
0.0,0.0,1972/10/4,53
1.0,0.0,1975/4/2,56
0.0,0.0,1950/6/13,57
0.0,0.0,1972/2/6,60
0.0,0.0,1966/7/11,61
0.0,0.0,1929/2/3,62
0.0,0.0,1997/7/9,63
0.0,0.0,1988/7/14,64
0.0,0.0,1984/2/21,65
0.0,0.0,1919/3/23,66
0.0,0.0,1998/7/31,67
0.0,0.0,1986/8/31,68
0.0,0.0,1944/8/8,71
0.0,0.0,1981/3/23,72
1.0,0.0,1967/4/24,73
0.0,0.0,1959/7/5,74
0.0,0.0,1990/7/31,75
0.0,0.0,1959/7/3,76
0.0,0.0,2002/7/30,77
0.0,0.0,1996/10/8,78
0.0,0.0,1995/10/2,79
0.0,0.0,1933/1/20,80
0.0,0.0,1980/3/20,81
0.0,0.0,1988/10/23,82
0.0,0.0,1964/10/30,83
0.0,0.0,1951/9/17,84
0.0,0.0,1973/5/18,85
0.0,0.0,1930/1/14,86
0.0,0.0,1947/3/7,87
0.0,0.0,1953/10/31,88
0.0,0.0,1929/11/16,89
0.0,0.0,1945/11/18,90
0.0,0.0,1925/3/5,91
0.0,0.0,1991/10/10,92
1.0,0.0,1993/9/15,93
0.0,0.0,1936/3/13,94
0.0,0.0,1958/7/26,95
0.0,0.0,1966/2/7,96
0.0,0.0,1925/10/8,97
0.0,0.0,2000/2/22,98
1.0,0.0,1993/8/10,99
0.0,0.0,1992/12/17,100
0.0,0.0,1996/2/23,101
0.0,0.0,1994/3/16,102
0.0,0.0,1990/5/2,103
0.0,0.0,1995/9/28,106
0.0,0.0,2001/2/26,108
0.0,0.0,2004/1/4,111
1.0,0.0,1998/5/29,113
0.0,0.0,2000/1/20,118
0.0,0.0,1994/4/22,119
0.0,0.0,1993/9/20,120
1.0,0.0,2001/9/25,121
0.0,0.0,1989/9/14,123
0.0,0.0,1995/3/10,125
1.0,0.0,2002/2/13,126
0.0,0.0,1996/10/30,129
0.0,0.0,1997/11/19,131
0.0,0.0,1997/10/27,133
0.0,0.0,2001/2/18,134
0.0,0.0,2003/1/30,135
0.0,0.0,1996/8/31,136
0.0,0.0,1985/5/6,139
0.0,0.0,1997/7/18,141
