fiba_world_cup,draft_year,name,id
1.0,1986.0,Mark Price,5
1.0,2012.0,Anthony Marshon Davis Jr.,12
1.0,2015.0,Jahlil Okafor,32
1.0,1988.0,Rik Smits,45
1.0,1971.0,Darnell Hillman,49
1.0,2007.0,Kevin Wayne Durant,54
1.0,1991.0,Steve Smith,59
1.0,1988.0,Steve Kerr,69
1.0,1989.0,Dino Rađa,73
1.0,2013.0,Dennis Schr?der,93
1.0,2012.0,Andre Jamal Drummond,99
1.0,2011.0,Kyrie Andrew Irving,104
1.0,2008.0,Kevin Wesley Love,114
2.0,2009.0,Wardell Stephen Curry II,116
1.0,1992.0,Shaquille Rashaun O'Neal,137
