draft_pick,nba_championships,team,id
10.0,0.0,Philadelphia 76ers,103
23.0,1.0,New York Knicks,109
17.0,2.0,Boston Celtics,112
15.0,1.0,Milwaukee Bucks,115
13.0,0.0,Miami Heat,118
13.0,0.0,Chicago Bulls,125
13.0,0.0,Phoenix Suns,129
10.0,0.0,San Antonio Spurs,131
18.0,0.0,Miami Heat,134
13.0,5.0,Los Angeles Lakers,138
14.0,0.0,Miami Heat,141
11.0,0.0,New York Knicks,18
15.0,0.0,PAOK Thessaloniki,22
22.0,0.0,Detroit Pistons,24
14.0,0.0,Philadelphia Warriors,27
14.0,0.0,Panteras de Miranda,39
16.0,0.0,New Mexico State,41
13.0,0.0,New York Knicks,42
16.0,0.0,Cleveland Cavaliers,44
20.0,0.0,Detroit Pistons,47
19.0,0.0,Houston Rockets,61
21.0,0.0,Maccabi Tel Aviv,72
10.0,0.0,New Orleans Jazz,9
10.0,0.0,Boston Celtics,90
11.0,0.0,Mexico City Capitanes,92
17.0,0.0,Brooklyn Nets,93
10.0,0.0,Cincinnati Royals,94
21.0,0.0,Dallas Mavericks,95
