id,draft_pick,nba_championships,team
9,10.0,0.0,New Orleans Jazz
18,11.0,0.0,New York Knicks
22,15.0,0.0,PAOK Thessaloniki
24,22.0,0.0,Detroit Pistons
27,14.0,0.0,Philadelphia Warriors
39,14.0,0.0,Panteras de Miranda
41,16.0,0.0,New Mexico State
42,13.0,0.0,New York Knicks
44,16.0,0.0,Cleveland Cavaliers
47,20.0,0.0,Detroit Pistons
61,19.0,0.0,Houston Rockets
72,21.0,0.0,Maccabi Tel Aviv
90,10.0,0.0,Boston Celtics
92,11.0,0.0,Mexico City Capitanes
93,17.0,0.0,Brooklyn Nets
94,10.0,0.0,Cincinnati Royals
95,21.0,0.0,Dallas Mavericks
103,10.0,0.0,Philadelphia 76ers
109,23.0,1.0,New York Knicks
112,17.0,2.0,Boston Celtics
115,15.0,1.0,Milwaukee Bucks
118,13.0,0.0,Miami Heat
125,13.0,0.0,Chicago Bulls
129,13.0,0.0,Phoenix Suns
131,10.0,0.0,San Antonio Spurs
134,18.0,0.0,Miami Heat
138,13.0,5.0,Los Angeles Lakers
141,14.0,0.0,Miami Heat
