id,team,name,mvp_awards,birth_date
1,Lokomotiv Kuban,Antonius Cleveland,0,1994/2/2
2,Los Angeles Lakers,Jay Vincent Jay Fletcher Vincent,0,1959/6/10
3,Cedevita Olimpija,Nikola Radi?evi?,0,1994/4/25
4,Rochester Royals,Fran Curran Francis Hugh Curran Sr.,0,1922/9/9
5,Orlando Magic,Mark Price,0,1964/2/15
6,Bursaspor Basketbol,David Michineau,0,1994/6/6
7,Saski Baskonia,Donta Hall,0,1997/8/7
8,Milwaukee Bucks,Erick Strickland,0,1973/11/25
9,New Orleans Jazz,David Lattin,0,1943/12/23
10,New Orleans Jazz,Toby Kimball,0,1942/9/7
11,Sacramento Kings,Derek Grimm,0,1974/8/3
12,Los Angeles Lakers,Anthony Marshon Davis Jr.,1,1993/3/11
13,Houston Rockets,Brandan Keith Wright,0,1987/10/5
14,Guaros de Lara,Askia Rahman Jones,0,1971/12/3
15,Melbourne United,Carrick Felix,0,1990/8/17
16,Santa Cruz Warriors,Mychel Thompson,0,1988/6/1
17,,Marvin Roberts,0,1950/1/29
18,New York Knicks,"Kenneth ""Apple"" Green",0,1959/9/19
19,Grand Rapids Hoops,Gerald Madkins Jr.,0,1969/4/18
20,New York Knicks,Don Anielak,0,1930/11/1
21,Los Angeles Lakers,Philip Douglas Jackson,0,1945/9/17
22,PAOK Thessaloniki,Anthony Avent,0,1969/10/18
23,Philadelphia 76ers,Drew Edward Gordon,0,1990/7/12
24,Detroit Pistons,Jarrett Jack,0,1983/10/28
25,HTV Basket,Rick Hughes,0,1973/8/22
26,Philadelphia 76ers,Lavoy Allen,0,1989/2/4
27,Philadelphia Warriors,Ed Dahler Edward Dahler Jr.,0,1926/1/31
28,Los Angeles Lakers,Magic Johnson,3,1959/8/14
29,Boston Celtics,Stanley M. Noszka,0,1920/9/19
30,Detroit Pistons,Isiah Thomas,1,1961/4/30
31,Portland Trail Blazers,Dan Anderson,0,1951/1/1
32,Capitanes de Arecibo,Jahlil Okafor,0,1995/12/15
33,Chicago Bulls,Trent Tucker,0,1959/12/20
34,Brevard Blue Ducks,Dwayne Kenneth Schintzius,0,1968/10/14
35,Phoenix Suns,Miles Julian Simon,0,1975/11/21
36,Milwaukee Bucks,Guy William Rodgers,0,1935/9/1
37,Dallas Mavericks,Vernon Maxwell,0,1965/9/12
38,San Antonio Spurs,Tim Duncan,2,1976/4/25
39,Panteras de Miranda,Walter Berry,0,1964/5/14
40,Philadelphia Warriors,James Patrick Walsh,0,1930/8/29
41,New Mexico State,Tony Lorenzo Delk,0,1974/1/28
42,New York Knicks,Calvin Ramsey,0,1937/7/13
43,Milwaukee Hawks,Gene Dyker Eugene Walter Dyker,0,1930/2/17
44,Cleveland Cavaliers,Derrick Chievous,0,1967/7/3
45,Indiana Pacers,Rik Smits,0,1966/8/23
46,Minnesota Timberwolves,Anthony Edwards,0,2001/8/5
47,Detroit Pistons,"Harry Junior ""The Horse"" Gallatin",0,1927/4/26
