id,olympic_gold_medals,birth_date
1,0.0,1994/2/2
2,0.0,1959/6/10
3,0.0,1994/4/25
4,0.0,1922/9/9
5,0.0,1964/2/15
6,0.0,1994/6/6
7,0.0,1997/8/7
8,0.0,1973/11/25
9,0.0,1943/12/23
10,0.0,1942/9/7
11,0.0,1974/8/3
12,2.0,1993/3/11
13,0.0,1987/10/5
14,0.0,1971/12/3
15,0.0,1990/8/17
16,0.0,1988/6/1
17,0.0,1950/1/29
18,0.0,1959/9/19
19,0.0,1969/4/18
20,0.0,1930/11/1
21,0.0,1945/9/17
22,0.0,1969/10/18
23,0.0,1990/7/12
24,0.0,1983/10/28
25,0.0,1973/8/22
26,0.0,1989/2/4
27,0.0,1926/1/31
28,1.0,1959/8/14
29,0.0,1920/9/19
30,0.0,1961/4/30
31,0.0,1951/1/1
32,0.0,1995/12/15
33,0.0,1959/12/20
34,0.0,1968/10/14
35,0.0,1975/11/21
36,0.0,1935/9/1
37,0.0,1965/9/12
38,0.0,1976/4/25
39,0.0,1964/5/14
40,1.0,1930/8/29
41,0.0,1974/1/28
42,0.0,1937/7/13
43,0.0,1930/2/17
44,0.0,1967/7/3
45,0.0,1966/8/23
46,1.0,2001/8/5
47,0.0,1927/4/26
48,0.0,1931/2/3
49,0.0,1949/8/29
50,0.0,1951/6/2
51,0.0,1989/2/7
52,0.0,1952/3/11
53,0.0,1972/10/4
54,4.0,1988/9/29
55,,1971/10/2
56,0.0,1975/4/2
57,0.0,1950/6/13
58,0.0,1963/12/14
59,1.0,1969/3/31
60,0.0,1972/2/6
61,0.0,1966/7/11
62,0.0,1929/2/3
63,0.0,1997/7/9
64,0.0,1988/7/14
65,0.0,1984/2/21
66,0.0,1919/3/23
67,0.0,1998/7/31
68,0.0,1986/8/31
69,1.0,1965/9/27
70,0.0,1968/10/3
71,0.0,1944/8/8
72,0.0,1981/3/23
73,0.0,1967/4/24
74,0.0,1959/7/5
75,0.0,1990/7/31
76,0.0,1959/7/3
77,0.0,2002/7/30
78,0.0,1996/10/8
79,0.0,1995/10/2
80,0.0,1933/1/20
81,0.0,1980/3/20
82,0.0,1988/10/23
83,0.0,1964/10/30
84,0.0,1951/9/17
85,0.0,1973/5/18
86,0.0,1930/1/14
87,0.0,1947/3/7
88,0.0,1953/10/31
89,0.0,1929/11/16
90,0.0,1945/11/18
91,0.0,1925/3/5
92,0.0,1991/10/10
93,0.0,1993/9/15
94,0.0,1936/3/13
95,0.0,1958/7/26
96,0.0,1966/2/7
97,0.0,1925/10/8
98,0.0,2000/2/22
99,0.0,1993/8/10
100,0.0,1992/12/17
101,0.0,1996/2/23
102,1.0,1994/3/16
103,1.0,1990/5/2
104,1.0,1992/3/23
105,2.0,1998/3/3
106,0.0,1995/9/28
107,0.0,1995/2/23
108,0.0,2001/2/26
109,0.0,1997/7/17
110,0.0,1996/10/24
111,0.0,2004/1/4
112,2.0,1990/6/12
113,0.0,1998/5/29
114,1.0,1988/9/7
115,0.0,1994/12/6
116,1.0,1988/3/14
117,0.0,1986/6/3
118,0.0,2000/1/20
119,0.0,1994/4/22
120,0.0,1993/9/20
121,0.0,2001/9/25
122,3.0,1984/12/30
123,1.0,1989/9/14
124,0.0,1996/2/6
125,1.0,1995/3/10
126,0.0,2002/2/13
127,1.0,1986/3/25
128,2.0,1963/2/17
129,2.0,1996/10/30
130,2.0,1990/3/4
131,0.0,1997/11/19
132,0.0,2002/10/6
133,0.0,1997/10/27
134,0.0,2001/2/18
135,0.0,2003/1/30
136,0.0,1996/8/31
137,1.0,1972/3/6
138,2.0,1978/8/23
139,2.0,1985/5/6
140,1.0,1992/5/30
141,2.0,1997/7/18
