draft_pick,id
,1
24.0,2
57.0,3
,4
25.0,5
,6
,7
,8
10.0,9
,10
,11
1.0,12
8.0,13
,14
33.0,15
,16
45.0,17
11.0,18
,19
26.0,20
2.0,21
15.0,22
,23
22.0,24
,25
50.0,26
14.0,27
1.0,28
,29
2.0,30
2.0,31
3.0,32
6.0,33
24.0,34
,35
1.0,36
2.0,37
1.0,38
14.0,39
,40
16.0,41
13.0,42
,43
16.0,44
2.0,45
1.0,46
20.0,47
1.0,48
8.0,49
,50
35.0,51
169.0,52
,53
2.0,54
,55
,56
5.0,57
6.0,58
5.0,59
8.0,60
19.0,61
35.0,62
,63
,64
2.0,65
,66
45.0,67
29.0,68
50.0,69
35.0,70
,71
21.0,72
40.0,73
53.0,74
48.0,75
,76
57.0,77
,78
,79
1.0,80
8.0,81
27.0,82
44.0,83
5.0,84
4.0,85
8.0,86
8.0,87
1.0,88
,89
10.0,90
1.0,91
11.0,92
17.0,93
10.0,94
21.0,95
,96
,97
57.0,98
9.0,99
6.0,100
2.0,101
3.0,102
10.0,103
1.0,104
3.0,105
,106
1.0,107
,108
23.0,109
3.0,110
1.0,111
17.0,112
,113
5.0,114
15.0,115
7.0,116
3.0,117
13.0,118
,119
30.0,120
1.0,121
1.0,122
30.0,123
30.0,124
13.0,125
5.0,126
24.0,127
3.0,128
13.0,129
35.0,130
10.0,131
7.0,132
2.0,133
18.0,134
5.0,135
33.0,136
1.0,137
13.0,138
4.0,139
7.0,140
14.0,141
