id,draft_pick
1,
2,24.0
3,57.0
4,
5,25.0
6,
7,
8,
9,10.0
10,
11,
12,1.0
13,8.0
14,
15,33.0
16,
17,45.0
18,11.0
19,
20,26.0
21,2.0
22,15.0
23,
24,22.0
25,
26,50.0
27,14.0
28,1.0
29,
30,2.0
31,2.0
32,3.0
33,6.0
34,24.0
35,
36,1.0
37,2.0
38,1.0
39,14.0
40,
41,16.0
42,13.0
43,
44,16.0
45,2.0
46,1.0
47,20.0
48,1.0
49,8.0
50,
51,35.0
52,169.0
53,
54,2.0
55,
56,
57,5.0
58,6.0
59,5.0
60,8.0
61,19.0
62,35.0
63,
64,
65,2.0
66,
67,45.0
68,29.0
69,50.0
70,35.0
71,
72,21.0
73,40.0
74,53.0
75,48.0
76,
77,57.0
78,
79,
80,1.0
81,8.0
82,27.0
83,44.0
84,5.0
85,4.0
86,8.0
87,8.0
88,1.0
89,
90,10.0
91,1.0
92,11.0
93,17.0
94,10.0
95,21.0
96,
97,
98,57.0
99,9.0
100,6.0
101,2.0
102,3.0
103,10.0
104,1.0
105,3.0
106,
107,1.0
108,
109,23.0
110,3.0
111,1.0
112,17.0
113,
114,5.0
115,15.0
116,7.0
117,3.0
118,13.0
119,
120,30.0
121,1.0
122,1.0
123,30.0
124,30.0
125,13.0
126,5.0
127,24.0
128,3.0
129,13.0
130,35.0
131,10.0
132,7.0
133,2.0
134,18.0
135,5.0
136,33.0
137,1.0
138,13.0
139,4.0
140,7.0
141,14.0
