team,name,mvp_awards,birth_date,id
Lokomotiv Kuban,Antonius Cleveland,0,1994/2/2,1
Los Angeles Lakers,Jay Vincent Jay Fletcher Vincent,0,1959/6/10,2
Cedevita Olimpija,Nikola Radi?evi?,0,1994/4/25,3
Rochester Royals,Fran Curran Francis Hugh Curran Sr.,0,1922/9/9,4
Orlando Magic,Mark Price,0,1964/2/15,5
Bursaspor Basketbol,David Michineau,0,1994/6/6,6
Saski Baskonia,Donta Hall,0,1997/8/7,7
Milwaukee Bucks,Erick Strickland,0,1973/11/25,8
New Orleans Jazz,David Lattin,0,1943/12/23,9
New Orleans Jazz,Toby Kimball,0,1942/9/7,10
Sacramento Kings,Derek Grimm,0,1974/8/3,11
Los Angeles Lakers,Anthony Marshon Davis Jr.,1,1993/3/11,12
Houston Rockets,Brandan Keith Wright,0,1987/10/5,13
Guaros de Lara,Askia Rahman Jones,0,1971/12/3,14
Melbourne United,Carrick Felix,0,1990/8/17,15
Santa Cruz Warriors,Mychel Thompson,0,1988/6/1,16
,Marvin Roberts,0,1950/1/29,17
New York Knicks,"Kenneth ""Apple"" Green",0,1959/9/19,18
Grand Rapids Hoops,Gerald Madkins Jr.,0,1969/4/18,19
New York Knicks,Don Anielak,0,1930/11/1,20
Los Angeles Lakers,Philip Douglas Jackson,0,1945/9/17,21
PAOK Thessaloniki,Anthony Avent,0,1969/10/18,22
Philadelphia 76ers,Drew Edward Gordon,0,1990/7/12,23
Detroit Pistons,Jarrett Jack,0,1983/10/28,24
HTV Basket,Rick Hughes,0,1973/8/22,25
Philadelphia 76ers,Lavoy Allen,0,1989/2/4,26
Philadelphia Warriors,Ed Dahler Edward Dahler Jr.,0,1926/1/31,27
Los Angeles Lakers,Magic Johnson,3,1959/8/14,28
Boston Celtics,Stanley M. Noszka,0,1920/9/19,29
Detroit Pistons,Isiah Thomas,1,1961/4/30,30
Portland Trail Blazers,Dan Anderson,0,1951/1/1,31
Capitanes de Arecibo,Jahlil Okafor,0,1995/12/15,32
Chicago Bulls,Trent Tucker,0,1959/12/20,33
Brevard Blue Ducks,Dwayne Kenneth Schintzius,0,1968/10/14,34
Phoenix Suns,Miles Julian Simon,0,1975/11/21,35
Milwaukee Bucks,Guy William Rodgers,0,1935/9/1,36
Dallas Mavericks,Vernon Maxwell,0,1965/9/12,37
San Antonio Spurs,Tim Duncan,2,1976/4/25,38
Panteras de Miranda,Walter Berry,0,1964/5/14,39
Philadelphia Warriors,James Patrick Walsh,0,1930/8/29,40
New Mexico State,Tony Lorenzo Delk,0,1974/1/28,41
New York Knicks,Calvin Ramsey,0,1937/7/13,42
Milwaukee Hawks,Gene Dyker Eugene Walter Dyker,0,1930/2/17,43
Cleveland Cavaliers,Derrick Chievous,0,1967/7/3,44
Indiana Pacers,Rik Smits,0,1966/8/23,45
Minnesota Timberwolves,Anthony Edwards,0,2001/8/5,46
Detroit Pistons,"Harry Junior ""The Horse"" Gallatin",0,1927/4/26,47
Milwaukee Hawks,Jim Brasco,0,1931/2/3,48
Golden State Warriors,Darnell Hillman,0,1949/8/29,49
New York Knicks,Larry Robinson,0,1951/6/2,50
AS Monaco,Nicholas William Calathes,0,1989/2/7,51
Seattle SuperSonics,Rod Derline,0,1952/3/11,52
New York Knicks,Kurt Thomas,0,1972/10/4,53
Phoenix Suns,Kevin Wayne Durant,1,1988/9/29,54
Los Angeles Clippers,Aaron Williams,0,1971/10/2,55
Toronto Raptors,Nathaniel Thomas Huffman,1,1975/4/2,56
New Orleans Jazz,Fred Boyd,0,1950/6/13,57
Grand Rapids Hoops,William Bedford,0,1963/12/14,58
Charlotte Bobcats,Steve Smith,0,1969/3/31,59
