fiba_world_cup,draft_pick,mvp_awards,name,id
0.0,,0,Antonius Cleveland,1
0.0,24.0,0,Jay Vincent Jay Fletcher Vincent,2
0.0,57.0,0,Nikola Radi?evi?,3
0.0,,0,Fran Curran Francis Hugh Curran Sr.,4
1.0,25.0,0,Mark Price,5
0.0,,0,David Michineau,6
0.0,,0,Donta Hall,7
0.0,,0,Erick Strickland,8
0.0,10.0,0,David Lattin,9
0.0,,0,Toby Kimball,10
0.0,,0,Derek Grimm,11
1.0,1.0,1,Anthony Marshon Davis Jr.,12
0.0,8.0,0,Brandan Keith Wright,13
0.0,,0,Askia Rahman Jones,14
0.0,33.0,0,Carrick Felix,15
0.0,,0,Mychel Thompson,16
0.0,45.0,0,Marvin Roberts,17
0.0,11.0,0,"Kenneth ""Apple"" Green",18
0.0,,0,Gerald Madkins Jr.,19
0.0,26.0,0,Don Anielak,20
0.0,2.0,0,Philip Douglas Jackson,21
0.0,15.0,0,Anthony Avent,22
0.0,,0,Drew Edward Gordon,23
0.0,22.0,0,Jarrett Jack,24
0.0,,0,Rick Hughes,25
0.0,50.0,0,Lavoy Allen,26
0.0,14.0,0,Ed Dahler Edward Dahler Jr.,27
0.0,1.0,3,Magic Johnson,28
0.0,,0,Stanley M. Noszka,29
0.0,2.0,1,Isiah Thomas,30
0.0,2.0,0,Dan Anderson,31
1.0,3.0,0,Jahlil Okafor,32
0.0,6.0,0,Trent Tucker,33
0.0,24.0,0,Dwayne Kenneth Schintzius,34
0.0,,0,Miles Julian Simon,35
0.0,1.0,0,Guy William Rodgers,36
0.0,2.0,0,Vernon Maxwell,37
0.0,1.0,2,Tim Duncan,38
0.0,14.0,0,Walter Berry,39
0.0,,0,James Patrick Walsh,40
0.0,16.0,0,Tony Lorenzo Delk,41
0.0,13.0,0,Calvin Ramsey,42
0.0,,0,Gene Dyker Eugene Walter Dyker,43
0.0,16.0,0,Derrick Chievous,44
1.0,2.0,0,Rik Smits,45
0.0,1.0,0,Anthony Edwards,46
0.0,20.0,0,"Harry Junior ""The Horse"" Gallatin",47
0.0,1.0,0,Jim Brasco,48
1.0,8.0,0,Darnell Hillman,49
0.0,,0,Larry Robinson,50
0.0,35.0,0,Nicholas William Calathes,51
0.0,169.0,0,Rod Derline,52
0.0,,0,Kurt Thomas,53
1.0,2.0,1,Kevin Wayne Durant,54
,,0,Aaron Williams,55
1.0,,1,Nathaniel Thomas Huffman,56
0.0,5.0,0,Fred Boyd,57
0.0,6.0,0,William Bedford,58
1.0,5.0,0,Steve Smith,59
0.0,8.0,0,Shawn Christopher Respert,60
0.0,19.0,0,Rodney Strickland,61
0.0,35.0,0,Elmer H. Behnke,62
0.0,,0,Lamar Brandon Stevens,63
0.0,,0,Ronald Moore,64
0.0,2.0,0,Erazem Lorbek,65
0.0,,0,"Marvin ""Mickey"" Rottner",66
0.0,45.0,0,Hamidou Diallo,67
0.0,29.0,0,"Dewayne ""D. J."" White, Jr.",68
1.0,50.0,0,Steve Kerr,69
0.0,35.0,0,Gregory Clinton Foster,70
0.0,,0,Bill Hewitt,71
0.0,21.0,0,Joseph Xavier Forte,72
1.0,40.0,0,Dino Rađa,73
0.0,53.0,0,Mark Jeffrey Radford,74
0.0,48.0,0,Kostas Papanikolaou,75
0.0,,0,Garry Witts Garrett David Witts,76
0.0,57.0,0,Jabari Dominic Walker,77
0.0,,0,Devontae Cacok,78
0.0,,0,Brandon Goodwin,79
0.0,1.0,0,Dick Rosenthal,80
0.0,8.0,0,Jamal Crawford,81
0.0,27.0,0,Jordan Lee Crawford,82
0.0,44.0,0,Tom Copa,83
0.0,5.0,0,Kermit Washington,84
0.0,4.0,0,Donyell Marshall,85
0.0,8.0,0,Wayne Lavern Robinson,86
0.0,8.0,0,Greg Fillmore Gregory Paul Fillmore,87
0.0,1.0,0,John Harding Lucas II,88
0.0,,0,Dick Surhoff,89
0.0,10.0,0,Garfield Smith,90
0.0,1.0,0,Leroy Patrick Chollet,91
0.0,11.0,0,Michael Carter-Williams,92
1.0,17.0,0,Dennis Schr?der,93
0.0,10.0,0,Jack Parr,94
0.0,21.0,0,"Monti Davis DaMon William ""Monti"" Davis",95
0.0,,0,Eric Johnson Jones,96
0.0,,0,Sidney Harold Tanenbaum,97
0.0,57.0,0,Trayce Jackson-Davis,98
1.0,9.0,0,Andre Jamal Drummond,99
0.0,6.0,0,"Chavano Rainer ""Buddy"" Hield",100
0.0,2.0,0,D'Angelo Russell,101
0.0,3.0,1,Joel Hans Embiid,102
0.0,10.0,0,Paul Clifton Anthony George,103
1.0,1.0,0,Kyrie Andrew Irving,104
0.0,3.0,1,Jayson Christopher Tatum,105
0.0,,0,Caleb Martin,106
0.0,1.0,0,Andrew Christian Wiggins,107
0.0,,0,Max Berning Fiedler,108
0.0,23.0,0,"Ogugua ""OG"" Anunoby Jr.",109
0.0,3.0,1,Jaylen Marselles Brown,110
0.0,1.0,0,Victor Wembanyama,111
0.0,17.0,1,Jrue Randall Holiday,112
1.0,,0,Austin Tyler Reaves,113
1.0,5.0,0,Kevin Wesley Love,114
0.0,15.0,2,Giannis Sina Ugo Antetokounmpo,115
2.0,7.0,2,Wardell Stephen Curry II,116
0.0,3.0,0,Alfred Joel Horford Reynoso,117
0.0,13.0,0,Tyler Christopher Herro,118
0.0,,0,Duncan McBryde Robinson,119
0.0,30.0,0,Kyle Forman Anderson,120
1.0,1.0,0,Cade Parker Cunningham,121
0.0,1.0,4,LeBron Raymone James Sr.,122
0.0,30.0,0,Jimmy Butler III,123
0.0,30.0,0,Kevon Grant Looney,124
0.0,13.0,0,Zachary Thomas LaVine,125
1.0,5.0,0,Jaden Edward Dhananjay Ivey,126
0.0,24.0,0,Kyle Terrell Lowry,127
0.0,3.0,5,Michael Jeffrey Jordan,128
0.0,13.0,0,Devin Armani Booker,129
0.0,35.0,0,Draymond Jamal Green,130
0.0,10.0,0,Zach Collins,131
0.0,7.0,0,Jonathan Malangu Kuminga,132
0.0,2.0,0,Lonzo Anderson Ball,133
0.0,18.0,0,Jaime Jaquez Jr.,134
0.0,5.0,0,Ausar XLNC Thompson,135
0.0,33.0,0,Jalen Marquis Brunson,136
1.0,1.0,1,Shaquille Rashaun O'Neal,137
0.0,13.0,1,Kobe Bean Bryant,138
0.0,4.0,1,Christopher Emmanuel Paul,139
0.0,7.0,0,Harrison Bryce Jordan Barnes,140
0.0,14.0,0,"Edrice Femi ""Bam"" Adebayo",141
