id,fiba_world_cup,draft_pick,mvp_awards,name
1,0.0,,0,Antonius Cleveland
2,0.0,24.0,0,Jay Vincent Jay Fletcher Vincent
3,0.0,57.0,0,Nikola Radi?evi?
4,0.0,,0,Fran Curran Francis Hugh Curran Sr.
5,1.0,25.0,0,Mark Price
6,0.0,,0,David Michineau
7,0.0,,0,Donta Hall
8,0.0,,0,Erick Strickland
9,0.0,10.0,0,David Lattin
10,0.0,,0,Toby Kimball
11,0.0,,0,Derek Grimm
12,1.0,1.0,1,Anthony Marshon Davis Jr.
13,0.0,8.0,0,Brandan Keith Wright
14,0.0,,0,Askia Rahman Jones
15,0.0,33.0,0,Carrick Felix
16,0.0,,0,Mychel Thompson
17,0.0,45.0,0,Marvin Roberts
18,0.0,11.0,0,"Kenneth ""Apple"" Green"
19,0.0,,0,Gerald Madkins Jr.
20,0.0,26.0,0,Don Anielak
21,0.0,2.0,0,Philip Douglas Jackson
22,0.0,15.0,0,Anthony Avent
23,0.0,,0,Drew Edward Gordon
24,0.0,22.0,0,Jarrett Jack
25,0.0,,0,Rick Hughes
26,0.0,50.0,0,Lavoy Allen
27,0.0,14.0,0,Ed Dahler Edward Dahler Jr.
28,0.0,1.0,3,Magic Johnson
29,0.0,,0,Stanley M. Noszka
30,0.0,2.0,1,Isiah Thomas
31,0.0,2.0,0,Dan Anderson
32,1.0,3.0,0,Jahlil Okafor
33,0.0,6.0,0,Trent Tucker
34,0.0,24.0,0,Dwayne Kenneth Schintzius
35,0.0,,0,Miles Julian Simon
36,0.0,1.0,0,Guy William Rodgers
37,0.0,2.0,0,Vernon Maxwell
38,0.0,1.0,2,Tim Duncan
39,0.0,14.0,0,Walter Berry
40,0.0,,0,James Patrick Walsh
41,0.0,16.0,0,Tony Lorenzo Delk
42,0.0,13.0,0,Calvin Ramsey
43,0.0,,0,Gene Dyker Eugene Walter Dyker
44,0.0,16.0,0,Derrick Chievous
45,1.0,2.0,0,Rik Smits
46,0.0,1.0,0,Anthony Edwards
47,0.0,20.0,0,"Harry Junior ""The Horse"" Gallatin"
48,0.0,1.0,0,Jim Brasco
49,1.0,8.0,0,Darnell Hillman
50,0.0,,0,Larry Robinson
51,0.0,35.0,0,Nicholas William Calathes
52,0.0,169.0,0,Rod Derline
53,0.0,,0,Kurt Thomas
54,1.0,2.0,1,Kevin Wayne Durant
55,,,0,Aaron Williams
56,1.0,,1,Nathaniel Thomas Huffman
57,0.0,5.0,0,Fred Boyd
58,0.0,6.0,0,William Bedford
59,1.0,5.0,0,Steve Smith
60,0.0,8.0,0,Shawn Christopher Respert
61,0.0,19.0,0,Rodney Strickland
62,0.0,35.0,0,Elmer H. Behnke
63,0.0,,0,Lamar Brandon Stevens
64,0.0,,0,Ronald Moore
65,0.0,2.0,0,Erazem Lorbek
66,0.0,,0,"Marvin ""Mickey"" Rottner"
67,0.0,45.0,0,Hamidou Diallo
68,0.0,29.0,0,"Dewayne ""D. J."" White, Jr."
69,1.0,50.0,0,Steve Kerr
70,0.0,35.0,0,Gregory Clinton Foster
71,0.0,,0,Bill Hewitt
72,0.0,21.0,0,Joseph Xavier Forte
73,1.0,40.0,0,Dino Rađa
74,0.0,53.0,0,Mark Jeffrey Radford
75,0.0,48.0,0,Kostas Papanikolaou
76,0.0,,0,Garry Witts Garrett David Witts
77,0.0,57.0,0,Jabari Dominic Walker
78,0.0,,0,Devontae Cacok
79,0.0,,0,Brandon Goodwin
80,0.0,1.0,0,Dick Rosenthal
81,0.0,8.0,0,Jamal Crawford
82,0.0,27.0,0,Jordan Lee Crawford
83,0.0,44.0,0,Tom Copa
84,0.0,5.0,0,Kermit Washington
85,0.0,4.0,0,Donyell Marshall
86,0.0,8.0,0,Wayne Lavern Robinson
87,0.0,8.0,0,Greg Fillmore Gregory Paul Fillmore
88,0.0,1.0,0,John Harding Lucas II
89,0.0,,0,Dick Surhoff
90,0.0,10.0,0,Garfield Smith
91,0.0,1.0,0,Leroy Patrick Chollet
92,0.0,11.0,0,Michael Carter-Williams
93,1.0,17.0,0,Dennis Schr?der
94,0.0,10.0,0,Jack Parr
95,0.0,21.0,0,"Monti Davis DaMon William ""Monti"" Davis"
96,0.0,,0,Eric Johnson Jones
97,0.0,,0,Sidney Harold Tanenbaum
98,0.0,57.0,0,Trayce Jackson-Davis
99,1.0,9.0,0,Andre Jamal Drummond
100,0.0,6.0,0,"Chavano Rainer ""Buddy"" Hield"
101,0.0,2.0,0,D'Angelo Russell
102,0.0,3.0,1,Joel Hans Embiid
103,0.0,10.0,0,Paul Clifton Anthony George
104,1.0,1.0,0,Kyrie Andrew Irving
105,0.0,3.0,1,Jayson Christopher Tatum
106,0.0,,0,Caleb Martin
107,0.0,1.0,0,Andrew Christian Wiggins
108,0.0,,0,Max Berning Fiedler
109,0.0,23.0,0,"Ogugua ""OG"" Anunoby Jr."
110,0.0,3.0,1,Jaylen Marselles Brown
111,0.0,1.0,0,Victor Wembanyama
112,0.0,17.0,1,Jrue Randall Holiday
113,1.0,,0,Austin Tyler Reaves
114,1.0,5.0,0,Kevin Wesley Love
115,0.0,15.0,2,Giannis Sina Ugo Antetokounmpo
116,2.0,7.0,2,Wardell Stephen Curry II
117,0.0,3.0,0,Alfred Joel Horford Reynoso
118,0.0,13.0,0,Tyler Christopher Herro
119,0.0,,0,Duncan McBryde Robinson
120,0.0,30.0,0,Kyle Forman Anderson
121,1.0,1.0,0,Cade Parker Cunningham
122,0.0,1.0,4,LeBron Raymone James Sr.
123,0.0,30.0,0,Jimmy Butler III
124,0.0,30.0,0,Kevon Grant Looney
125,0.0,13.0,0,Zachary Thomas LaVine
126,1.0,5.0,0,Jaden Edward Dhananjay Ivey
127,0.0,24.0,0,Kyle Terrell Lowry
128,0.0,3.0,5,Michael Jeffrey Jordan
129,0.0,13.0,0,Devin Armani Booker
130,0.0,35.0,0,Draymond Jamal Green
131,0.0,10.0,0,Zach Collins
132,0.0,7.0,0,Jonathan Malangu Kuminga
133,0.0,2.0,0,Lonzo Anderson Ball
134,0.0,18.0,0,Jaime Jaquez Jr.
135,0.0,5.0,0,Ausar XLNC Thompson
136,0.0,33.0,0,Jalen Marquis Brunson
137,1.0,1.0,1,Shaquille Rashaun O'Neal
138,0.0,13.0,1,Kobe Bean Bryant
139,0.0,4.0,1,Christopher Emmanuel Paul
140,0.0,7.0,0,Harrison Bryce Jordan Barnes
141,0.0,14.0,0,"Edrice Femi ""Bam"" Adebayo"
